department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
sweing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424
sweing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
sweing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
sweing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,0.800381944
sweing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,0.800125
sweing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478
sweing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531
sweing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826
sweing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957
sweing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247
sweing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902
sweing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0.52118
sweing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314
sweing,Saturday,3,0.8,28.08,913,6540,50,0,0,0,54.5,0.800322936
sweing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644
sweing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644
sweing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288
sweing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649
sweing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125
sweing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,0.800125
sweing,Saturday,10,0.75,19.31,610,6480,56,0,0,0,54,0.787299691
sweing,Saturday,2,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
sweing,Saturday,4,0.7,23.69,544,13800,0,0,0,0,60,0.700134038
sweing,Saturday,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217
sweing,Sunday,6,0.8,11.61,539,6975,50,0,0,0,31,0.879714482
sweing,Sunday,9,0.8,26.16,1278,7080,60,0,0,0,59,0.850569492
sweing,Sunday,7,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438
sweing,Sunday,8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133
sweing,Sunday,4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058
sweing,Sunday,1,0.8,26.16,1033,7080,63,0,0,0,59,0.800318644
sweing,Sunday,2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838
sweing,Sunday,12,0.8,11.61,1216,6975,50,0,0,0,31,0.800030199
sweing,Sunday,11,0.75,19.31,513,6480,45,0,0,0,54,0.750348457
sweing,Sunday,3,0.75,19.87,734,6600,45,0,0,0,55,0.75024303
sweing,Sunday,10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217
sweing,Sunday,5,0.7,45.67,884,6960,26,0,0,0,58,0.603432184
sweing,Monday,9,0.8,26.16,1227,7080,75,0,0,0,59,0.850569492
sweing,Monday,7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366
sweing,Monday,8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366
sweing,Monday,1,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644
sweing,Monday,11,0.8,19.31,678,4800,50,0,0,0,55,0.800250962
sweing,Monday,6,0.8,11.61,712,7200,50,0,0,0,32,0.800246011
sweing,Monday,12,0.8,11.61,1037,7200,50,0,0,0,32,0.800246011
sweing,Monday,2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522
sweing,Monday,4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522
sweing,Monday,10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504
sweing,Monday,3,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
sweing,Monday,5,0.6,21.98,666,6960,23,0,0,0,58,0.600028736
sweing,Tuesday,1,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311
sweing,Tuesday,9,0.8,26.16,1305,10620,75,0,0,0,59,0.850502311
sweing,Tuesday,2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466
sweing,Tuesday,4,0.8,28.08,925,10350,50,0,0,0,57.5,0.800594466
sweing,Tuesday,3,0.8,19.87,963,9900,50,0,0,0,55,0.800273829
sweing,Tuesday,12,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969
sweing,Tuesday,7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721
sweing,Tuesday,8,0.8,25.9,1083,10170,38,0,0,0,56.5,0.800128721
sweing,Tuesday,6,0.8,11.61,910,4470,38,0,0,0,31.5,0.80007657
sweing,Tuesday,10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455
sweing,Tuesday,11,0.75,19.31,590,9900,45,0,0,0,55,0.750057851
sweing,Tuesday,5,0.65,21.98,808,10440,35,0,0,0,58,0.649983281
sweing,Wednesday,1,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311
sweing,Wednesday,9,0.8,26.16,1324,10620,75,0,0,0,59,0.850502311
sweing,Wednesday,8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766
sweing,Wednesday,2,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466
sweing,Wednesday,4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466
sweing,Wednesday,6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766
sweing,Wednesday,3,0.8,19.87,924,9900,50,0,0,0,55,0.800273829
sweing,Wednesday,12,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753
sweing,Wednesday,7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721
sweing,Wednesday,10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8
sweing,Wednesday,5,0.7,21.98,413,9720,40,0,0,0,58,0.700480831
sweing,Wednesday,11,0.8,31.83,568,9900,40,0,0,0,55,0.412119835
sweing,Thursday,9,0.8,26.16,1216,10620,88,0,0,0,59,0.900215716
sweing,Thursday,1,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311
sweing,Thursday,4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818
sweing,Thursday,7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766
sweing,Thursday,8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766
sweing,Thursday,2,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246
sweing,Thursday,3,0.8,19.87,857,9900,50,0,0,0,55,0.800273829
sweing,Thursday,12,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143
sweing,Thursday,6,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932
sweing,Thursday,10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8
sweing,Thursday,11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389
sweing,Thursday,5,0.7,42.41,724,10260,0,0,0,0,57,0.233705476
sweing,Saturday,9,0.8,26.16,1122,10620,75,0,0,0,59,0.851174114
sweing,Saturday,7,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766
sweing,Saturday,8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766
sweing,Saturday,4,0.8,28.08,660,10440,63,0,0,0,58,0.801028213
sweing,Saturday,2,0.8,28.08,749,10350,63,0,0,0,57.5,0.800594466
sweing,Saturday,12,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445
sweing,Saturday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
sweing,Saturday,1,0.8,26.16,1335,10620,63,0,0,0,59,0.800117103
sweing,Saturday,10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8
sweing,Saturday,3,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351
sweing,Saturday,11,0.5,12.52,749,9540,38,0,0,0,53,0.673245283
sweing,Saturday,5,0.5,20.79,966,7680,0,0,0,0,56,0.388007813
sweing,Sunday,9,0.8,26.16,1095,10620,88,0,0,0,59,0.900215716
sweing,Sunday,1,0.8,26.16,1383,10620,75,0,0,0,59,0.850502311
sweing,Sunday,7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766
sweing,Sunday,8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766
sweing,Sunday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
sweing,Sunday,12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753
sweing,Sunday,2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
sweing,Sunday,10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8
sweing,Sunday,3,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815
sweing,Sunday,11,0.6,12.52,831,9540,30,0,0,0,53,0.600229846
sweing,Sunday,4,0.8,50.48,562,10440,0,0,0,0,58,0.473134796
sweing,Sunday,5,0.6,20.79,1208,7980,0,0,0,0,57,0.452979626
sweing,Monday,1,0.8,26.16,1099,8220,75,0,0,0,59,0.850522167
