Mushroom ID,Cap Shape,Cap Color,Gill Size,Stalk Shape,Habitat,Edibility,Market Demand,Spore Print Color,Population,Odor,Bruising,Ring Type,Stalk Surface Above Ring,Stalk Surface Below Ring,Stalk Color Above Ring,Stalk Color Below Ring,Veil Type,Veil Color,Growth Rate,Inspection Date,Incubation date,Temperature,Measurement
1,sunken,brown,narrow,tapering,leaves,edible,1,orange,abundant,musty,Yes,pendant,scaly,silky,white,brown,universal,orange,0.973096463,03/07/2021,03/02/2021,49.0,C
2,convex,brown,narrow,tapering,urban,edible,2,brown,several,foul,Yes,none,silky,scaly,pink,white,universal,white,0.502267005,03/05/2023,03/04/2023,-10.555555555555555,C
3,flat,brown,broad,enlarging,grasses,edible,8,yellow,scattered,musty,Yes,none,silky,silky,gray,orange,partial,orange,1.977619113,01/08/2022,01/04/2022,10.0,C
4,sunken,gray,narrow,tapering,urban,poisonous,4,orange,scattered,creosote,Yes,evanescent,smooth,scaly,gray,orange,universal,yellow,2.272762762,02/10/2023,02/02/2023,22.0,C
5,flat,red,narrow,enlarging,urban,edible,7,brown,several,almond,Yes,none,fibrous,fibrous,orange,white,partial,white,0.718873785,01/09/2023,01/04/2023,9.0,C
6,bell,gray,narrow,tapering,grasses,poisonous,6,yellow,several,anise,No,pendant,fibrous,silky,orange,white,universal,orange,14.02415593,04/11/2023,04/05/2023,21.0,C
7,flat,brown,broad,tapering,woods,,5,yellow,scattered,foul,Yes,flaring,fibrous,scaly,white,white,universal,white,4.320348762,02/08/2023,02/04/2023,13.0,C
8,sunken,red,narrow,enlarging,urban,,3,yellow,several,almond,No,pendant,scaly,silky,gray,orange,partial,yellow,1.450596518,02/07/2023,02/05/2023,2.0,C
9,conical,yellow,narrow,enlarging,grasses,edible,7,yellow,solitary,almond,Yes,evanescent,smooth,fibrous,brown,gray,universal,orange,3.545415336,01/07/2023,01/01/2023,8.0,C
10,bell,gray,broad,tapering,paths,poisonous,3,white,numerous,musty,Yes,pendant,silky,scaly,white,white,universal,yellow,3.866757255,04/05/2023,04/01/2023,10.0,C
11,sunken,white,broad,enlarging,urban,,3,black,numerous,creosote,Yes,none,scaly,fibrous,gray,pink,universal,brown,9.468676774,03/12/2023,03/05/2023,26.0,C
12,conical,brown,broad,enlarging,leaves,,2,brown,scattered,musty,Yes,flaring,fibrous,scaly,gray,gray,partial,yellow,3.544817568,05/06/2023,05/01/2023,6.0,C
13,bell,yellow,broad,enlarging,leaves,edible,8,brown,numerous,almond,Yes,pendant,silky,silky,gray,pink,universal,yellow,4.471316648,01/02/2022,01/02/2022,18.0,C
14,bell,brown,narrow,enlarging,urban,poisonous,9,brown,numerous,foul,Yes,pendant,silky,silky,white,gray,partial,white,1.154902118,03/09/2023,03/02/2023,20.0,C
15,conical,gray,narrow,enlarging,woods,edible,5,brown,numerous,creosote,Yes,pendant,fibrous,fibrous,white,gray,universal,white,2.144728044,05/02/2023,05/02/2023,16.0,C
16,convex,brown,narrow,enlarging,urban,edible,3,yellow,solitary,creosote,No,evanescent,silky,fibrous,brown,brown,partial,white,3.392187959,02/11/2023,02/02/2023,13.0,C
17,flat,gray,broad,tapering,urban,,10,orange,solitary,anise,Yes,pendant,smooth,fibrous,white,brown,partial,yellow,4.745231837,04/07/2022,04/03/2022,23.0,C
18,conical,brown,narrow,enlarging,urban,poisonous,1,brown,numerous,foul,Yes,pendant,silky,smooth,brown,gray,universal,brown,4.373511264,05/11/2020,05/05/2020,20.0,C
19,convex,red,broad,tapering,urban,poisonous,3,black,solitary,anise,No,evanescent,scaly,smooth,pink,gray,universal,yellow,0.502267005,02/05/2023,02/05/2023,12.0,C
