Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707417666,2024-02-08T18:41:06Z,EAI58EH,"53.431217,-6.243102",0,0,143
1707417843,2024-02-08T18:44:03Z,EAI58EH,"53.431366,-6.243324",0,2,149
1707417866,2024-02-08T18:44:26Z,EAI58EH,"53.431572,-6.24353",0,2,188
1707417892,2024-02-08T18:44:52Z,EAI58EH,"53.431778,-6.243393",0,2,255
1707417911,2024-02-08T18:45:11Z,EAI58EH,"53.431801,-6.243177",0,1,292
1707418058,2024-02-08T18:47:38Z,EAI58EH,"53.43182,-6.243385",0,6,284
1707418063,2024-02-08T18:47:43Z,EAI58EH,"53.431835,-6.243648",0,8,278
1707418065,2024-02-08T18:47:45Z,EAI58EH,"53.431843,-6.243849",0,10,278
1707418068,2024-02-08T18:47:48Z,EAI58EH,"53.431858,-6.244099",0,11,278
1707418072,2024-02-08T18:47:52Z,EAI58EH,"53.431877,-6.244395",0,13,278
1707418074,2024-02-08T18:47:54Z,EAI58EH,"53.431904,-6.244678",0,14,275
1707418082,2024-02-08T18:48:02Z,EAI58EH,"53.43195,-6.245566",0,16,278
1707418089,2024-02-08T18:48:09Z,EAI58EH,"53.431995,-6.246414",0,18,278
1707418095,2024-02-08T18:48:15Z,EAI58EH,"53.432053,-6.247513",0,19,278
1707418103,2024-02-08T18:48:23Z,EAI58EH,"53.43211,-6.248575",0,21,278
1707418110,2024-02-08T18:48:30Z,EAI58EH,"53.432182,-6.249867",0,23,278
1707418117,2024-02-08T18:48:37Z,EAI58EH,"53.432247,-6.251044",0,19,278
1707418124,2024-02-08T18:48:44Z,EAI58EH,"53.432304,-6.252006",0,16,278
1707418131,2024-02-08T18:48:51Z,EAI58EH,"53.432331,-6.252816",0,13,272
1707418134,2024-02-08T18:48:54Z,EAI58EH,"53.432293,-6.253085",0,11,258
1707418137,2024-02-08T18:48:57Z,EAI58EH,"53.43224,-6.253361",0,12,253
1707418140,2024-02-08T18:49:00Z,EAI58EH,"53.432182,-6.253624",0,13,250
1707418142,2024-02-08T18:49:02Z,EAI58EH,"53.432125,-6.253866",0,13,250
1707418147,2024-02-08T18:49:07Z,EAI58EH,"53.431995,-6.25434",0,14,247
1707418151,2024-02-08T18:49:11Z,EAI58EH,"53.431904,-6.254693",0,10,247
1707418157,2024-02-08T18:49:17Z,EAI58EH,"53.431744,-6.255027",0,10,227
1707418162,2024-02-08T18:49:22Z,EAI58EH,"53.431515,-6.255105",0,12,188
1707418166,2024-02-08T18:49:26Z,EAI58EH,"53.431286,-6.255007",0,13,163
1707418170,2024-02-08T18:49:30Z,EAI58EH,"53.431065,-6.254856",0,13,157
1707418174,2024-02-08T18:49:34Z,EAI58EH,"53.430809,-6.254654",0,14,157
1707418179,2024-02-08T18:49:39Z,EAI58EH,"53.430492,-6.254432",0,15,157
1707418185,2024-02-08T18:49:45Z,EAI58EH,"53.430111,-6.254149",0,15,160
1707418192,2024-02-08T18:49:52Z,EAI58EH,"53.429691,-6.253846",0,15,157
1707418195,2024-02-08T18:49:55Z,EAI58EH,"53.429478,-6.253654",0,15,151
1707418203,2024-02-08T18:50:03Z,EAI58EH,"53.429031,-6.253222",0,15,151
1707418210,2024-02-08T18:50:10Z,EAI58EH,"53.428539,-6.252849",0,16,157
1707418218,2024-02-08T18:50:18Z,EAI58EH,"53.428062,-6.252635",0,12,180
1707418224,2024-02-08T18:50:24Z,EAI58EH,"53.427757,-6.252857",0,14,216
1707418230,2024-02-08T18:50:30Z,EAI58EH,"53.427418,-6.253438",0,17,227
1707418236,2024-02-08T18:50:36Z,EAI58EH,"53.427155,-6.253909",0,18,227
1707418237,2024-02-08T18:50:37Z,EAI58EH,"53.427002,-6.254169",0,18,227
1707418246,2024-02-08T18:50:46Z,EAI58EH,"53.426502,-6.255017",0,20,227
1707418252,2024-02-08T18:50:52Z,EAI58EH,"53.426071,-6.255744",0,0,227
1707418259,2024-02-08T18:50:59Z,EAI58EH,"53.425541,-6.256655",0,24,225
1707418267,2024-02-08T18:51:07Z,EAI58EH,"53.424862,-6.257824",0,25,227
1707418274,2024-02-08T18:51:14Z,EAI58EH,"53.424313,-6.258733",0,26,227
1707418301,2024-02-08T18:51:41Z,EAI58EH,"53.422695,-6.26251",0,0,264
1707418306,2024-02-08T18:51:46Z,EAI58EH,"53.422707,-6.263257",0,19,275
1707418309,2024-02-08T18:51:49Z,EAI58EH,"53.422726,-6.263639",0,19,275
1707418363,2024-02-08T18:52:43Z,EAI58EH,"53.423336,-6.274849",0,31,275
1707418371,2024-02-08T18:52:51Z,EAI58EH,"53.423435,-6.276685",0,27,275
1707418379,2024-02-08T18:52:59Z,EAI58EH,"53.423527,-6.278294",0,28,275
1707418386,2024-02-08T18:53:06Z,EAI58EH,"53.423603,-6.279737",0,23,275
1707418396,2024-02-08T18:53:16Z,EAI58EH,"53.423687,-6.281296",0,15,275
1707418413,2024-02-08T18:53:33Z,EAI58EH,"53.423744,-6.282746",0,7,264
1707418422,2024-02-08T18:53:42Z,EAI58EH,"53.423561,-6.283081",0,6,222
1707418434,2024-02-08T18:53:54Z,EAI58EH,"53.423355,-6.283218",0,4,199
1707418523,2024-02-08T18:55:23Z,EAI58EH,"53.423069,-6.28321",0,6,174
1707418625,2024-02-08T18:57:05Z,EAI58EH,"53.420464,-6.25631",1400,124,97
1707418634,2024-02-08T18:57:14Z,EAI58EH,"53.419579,-6.247505",1800,110,100
1707418643,2024-02-08T18:57:23Z,EAI58EH,"53.418972,-6.240154",2100,108,97
1707418652,2024-02-08T18:57:32Z,EAI58EH,"53.418365,-6.23223",2325,109,96
1707418662,2024-02-08T18:57:42Z,EAI58EH,"53.4179,-6.224239",2500,116,94
1707418671,2024-02-08T18:57:51Z,EAI58EH,"53.41753,-6.216081",2575,124,94
1707418677,2024-02-08T18:57:57Z,EAI58EH,"53.417313,-6.209786",2650,130,92
1707418680,2024-02-08T18:58:00Z,EAI58EH,"53.417221,-6.206726",2675,133,92
1707418689,2024-02-08T18:58:09Z,EAI58EH,"53.416924,-6.197339",2775,140,94
1707418698,2024-02-08T18:58:18Z,EAI58EH,"53.416504,-6.187645",2850,148,94
1707418707,2024-02-08T18:58:27Z,EAI58EH,"53.415947,-6.176497",2950,154,94
1707418716,2024-02-08T18:58:36Z,EAI58EH,"53.415298,-6.165606",3125,156,96
1707418725,2024-02-08T18:58:45Z,EAI58EH,"53.414597,-6.154444",3150,166,95
1707418734,2024-02-08T18:58:54Z,EAI58EH,"53.414036,-6.142569",3100,181,90
