Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707501161,2024-02-09T17:52:41Z,EAI58EH,"53.430775,-6.238013",0,0,160
1707501356,2024-02-09T17:55:56Z,EAI58EH,"53.430977,-6.238174",0,0,160
1707501395,2024-02-09T17:56:35Z,EAI58EH,"53.431355,-6.238135",0,0,278
1707501545,2024-02-09T17:59:05Z,EAI58EH,"53.431366,-6.238488",0,6,267
1707501553,2024-02-09T17:59:13Z,EAI58EH,"53.431309,-6.238861",0,6,255
1707501561,2024-02-09T17:59:21Z,EAI58EH,"53.431217,-6.239224",0,0,244
1707501572,2024-02-09T17:59:32Z,EAI58EH,"53.431122,-6.23981",0,0,267
1707501588,2024-02-09T17:59:48Z,EAI58EH,"53.431297,-6.24098",0,0,286
1707501606,2024-02-09T18:00:06Z,EAI58EH,"53.431515,-6.242333",0,0,284
1707501615,2024-02-09T18:00:15Z,EAI58EH,"53.43161,-6.24294",0,8,284
1707501620,2024-02-09T18:00:20Z,EAI58EH,"53.431671,-6.243244",0,8,289
1707501624,2024-02-09T18:00:24Z,EAI58EH,"53.431755,-6.243452",0,8,303
1707501628,2024-02-09T18:00:28Z,EAI58EH,"53.431835,-6.243687",0,9,298
1707501631,2024-02-09T18:00:31Z,EAI58EH,"53.431915,-6.24389",0,10,303
1707501639,2024-02-09T18:00:39Z,EAI58EH,"53.432228,-6.244132",0,11,351
1707501644,2024-02-09T18:00:44Z,EAI58EH,"53.432472,-6.244092",0,9,5
1707501651,2024-02-09T18:00:51Z,EAI58EH,"53.432705,-6.24406",0,6,5
1707501662,2024-02-09T18:01:02Z,EAI58EH,"53.432949,-6.244031",0,7,5
1707501669,2024-02-09T18:01:09Z,EAI58EH,"53.433182,-6.244031",0,9,351
1707501675,2024-02-09T18:01:15Z,EAI58EH,"53.433403,-6.244296",0,10,315
1707501689,2024-02-09T18:01:29Z,EAI58EH,"53.433529,-6.245257",0,8,286
1707501694,2024-02-09T18:01:34Z,EAI58EH,"53.433647,-6.245505",0,7,309
1707501702,2024-02-09T18:01:42Z,EAI58EH,"53.433861,-6.245629",0,6,348
1707501771,2024-02-09T18:02:51Z,EAI58EH,"53.434147,-6.245586",0,6,2
1707501778,2024-02-09T18:02:58Z,EAI58EH,"53.434441,-6.245546",0,11,5
1707501785,2024-02-09T18:03:05Z,EAI58EH,"53.434776,-6.245485",0,10,2
1707501792,2024-02-09T18:03:12Z,EAI58EH,"53.435051,-6.245472",0,7,2
1707501799,2024-02-09T18:03:19Z,EAI58EH,"53.435253,-6.245667",0,7,317
1707501804,2024-02-09T18:03:24Z,EAI58EH,"53.435265,-6.245909",0,4,278
1707501825,2024-02-09T18:03:45Z,EAI58EH,"53.43528,-6.24612",0,12,275
1707501826,2024-02-09T18:03:46Z,EAI58EH,"53.435299,-6.246515",0,26,272
1707501827,2024-02-09T18:03:47Z,EAI58EH,"53.435314,-6.246728",0,30,275
1707501828,2024-02-09T18:03:48Z,EAI58EH,"53.435326,-6.247022",0,36,275
1707501829,2024-02-09T18:03:49Z,EAI58EH,"53.435349,-6.247323",0,41,275
1707501831,2024-02-09T18:03:51Z,EAI58EH,"53.435383,-6.248082",0,52,275
1707501838,2024-02-09T18:03:58Z,EAI58EH,"53.435577,-6.251809",0,82,275
1707501857,2024-02-09T18:04:17Z,EAI58EH,"53.436478,-6.268104",1375,135,275
1707501866,2024-02-09T18:04:26Z,EAI58EH,"53.436893,-6.277475",1600,133,273
