Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707674303,2024-02-11T17:58:23Z,EAI58EH,"53.431126,-6.244786",0,0,188
1707674432,2024-02-11T18:00:32Z,EAI58EH,"53.431389,-6.244758",0,4,180
1707674444,2024-02-11T18:00:44Z,EAI58EH,"53.431606,-6.244786",0,4,165
1707674457,2024-02-11T18:00:57Z,EAI58EH,"53.431812,-6.244943",0,4,123
1707674468,2024-02-11T18:01:08Z,EAI58EH,"53.431892,-6.245198",0,3,101
1707674557,2024-02-11T18:02:37Z,EAI58EH,"53.431446,-6.244766",0,0,95
1707674598,2024-02-11T18:03:18Z,EAI58EH,"53.431904,-6.245237",0,0,95
1707674611,2024-02-11T18:03:31Z,EAI58EH,"53.431892,-6.244962",0,4,95
1707674617,2024-02-11T18:03:37Z,EAI58EH,"53.431889,-6.244758",0,5,90
1707674623,2024-02-11T18:03:43Z,EAI58EH,"53.431938,-6.244536",0,6,75
1707674629,2024-02-11T18:03:49Z,EAI58EH,"53.432053,-6.244276",0,7,50
1707674637,2024-02-11T18:03:57Z,EAI58EH,"53.432293,-6.244119",0,8,11
1707674643,2024-02-11T18:04:03Z,EAI58EH,"53.432507,-6.244092",0,7,8
1707674653,2024-02-11T18:04:13Z,EAI58EH,"53.432751,-6.244051",0,3,5
1707674671,2024-02-11T18:04:31Z,EAI58EH,"53.431889,-6.244799",0,0,8
1707674704,2024-02-11T18:05:04Z,EAI58EH,"53.433029,-6.244011",0,5,2
1707674711,2024-02-11T18:05:11Z,EAI58EH,"53.433231,-6.24408",0,8,345
1707674719,2024-02-11T18:05:19Z,EAI58EH,"53.433449,-6.244475",0,10,298
1707674724,2024-02-11T18:05:24Z,EAI58EH,"53.433495,-6.244884",0,11,278
1707674728,2024-02-11T18:05:28Z,EAI58EH,"53.433556,-6.245263",0,11,292
1707674732,2024-02-11T18:05:32Z,EAI58EH,"53.433689,-6.245492",0,10,317
1707674736,2024-02-11T18:05:36Z,EAI58EH,"53.433895,-6.24559",0,12,348
1707674740,2024-02-11T18:05:40Z,EAI58EH,"53.434113,-6.245571",0,13,5
1707674744,2024-02-11T18:05:44Z,EAI58EH,"53.434368,-6.245546",0,14,5
1707674747,2024-02-11T18:05:47Z,EAI58EH,"53.43457,-6.245512",0,14,5
1707674751,2024-02-11T18:05:51Z,EAI58EH,"53.434811,-6.245465",0,14,5
1707674755,2024-02-11T18:05:55Z,EAI58EH,"53.435062,-6.245571",0,13,340
1707674761,2024-02-11T18:06:01Z,EAI58EH,"53.435268,-6.246022",0,12,292
1707674763,2024-02-11T18:06:03Z,EAI58EH,"53.435276,-6.246253",0,13,278
1707674765,2024-02-11T18:06:05Z,EAI58EH,"53.435287,-6.246455",0,13,275
