Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707760867,2024-02-12T18:01:07Z,EAI58EH,"53.430771,-6.238018",0,0,160
1707760955,2024-02-12T18:02:35Z,EAI58EH,"53.430988,-6.238194",0,1,168
1707761001,2024-02-12T18:03:21Z,EAI58EH,"53.431343,-6.238174",0,0,261
1707761084,2024-02-12T18:04:44Z,EAI58EH,"53.431366,-6.237972",0,0,272
1707761147,2024-02-12T18:05:47Z,EAI58EH,"53.431366,-6.238174",0,8,272
1707761151,2024-02-12T18:05:51Z,EAI58EH,"53.431355,-6.238477",0,12,267
1707761159,2024-02-12T18:05:59Z,EAI58EH,"53.43124,-6.239175",0,11,244
1707761166,2024-02-12T18:06:06Z,EAI58EH,"53.431133,-6.239729",0,10,261
1707761170,2024-02-12T18:06:10Z,EAI58EH,"53.431156,-6.240053",0,10,278
1707761180,2024-02-12T18:06:20Z,EAI58EH,"53.431286,-6.240862",0,13,286
1707761183,2024-02-12T18:06:23Z,EAI58EH,"53.431355,-6.241313",0,14,284
1707761187,2024-02-12T18:06:27Z,EAI58EH,"53.431412,-6.241686",0,14,284
1707761189,2024-02-12T18:06:29Z,EAI58EH,"53.431446,-6.241902",0,14,284
1707761195,2024-02-12T18:06:35Z,EAI58EH,"53.431549,-6.242471",0,12,286
1707761199,2024-02-12T18:06:39Z,EAI58EH,"53.431599,-6.24284",0,11,284
1707761204,2024-02-12T18:06:44Z,EAI58EH,"53.431686,-6.243256",0,10,292
1707761210,2024-02-12T18:06:50Z,EAI58EH,"53.431831,-6.243648",0,11,298
1707761214,2024-02-12T18:06:54Z,EAI58EH,"53.43195,-6.24393",0,11,309
1707761219,2024-02-12T18:06:59Z,EAI58EH,"53.43219,-6.244119",0,12,343
1707761229,2024-02-12T18:07:09Z,EAI58EH,"53.432716,-6.24406",0,7,5
1707761294,2024-02-12T18:08:14Z,EAI58EH,"53.432995,-6.244031",0,8,2
1707761301,2024-02-12T18:08:21Z,EAI58EH,"53.433254,-6.244099",0,8,340
1707761307,2024-02-12T18:08:27Z,EAI58EH,"53.433426,-6.244395",0,8,309
1707761316,2024-02-12T18:08:36Z,EAI58EH,"53.433495,-6.244884",0,7,275
1707761323,2024-02-12T18:08:43Z,EAI58EH,"53.433544,-6.245263",0,7,286
1707761328,2024-02-12T18:08:48Z,EAI58EH,"53.43367,-6.245485",0,8,315
1707761334,2024-02-12T18:08:54Z,EAI58EH,"53.433914,-6.245606",0,10,351
1707761338,2024-02-12T18:08:58Z,EAI58EH,"53.434124,-6.245571",0,12,5
1707761342,2024-02-12T18:09:02Z,EAI58EH,"53.434353,-6.245551",0,13,2
1707761346,2024-02-12T18:09:06Z,EAI58EH,"53.434612,-6.245505",0,14,5
1707761349,2024-02-12T18:09:09Z,EAI58EH,"53.434822,-6.245472",0,13,5
1707761356,2024-02-12T18:09:16Z,EAI58EH,"53.435154,-6.245414",0,8,5
1707761366,2024-02-12T18:09:26Z,EAI58EH,"53.435257,-6.245728",0,5,284
1707761402,2024-02-12T18:10:02Z,EAI58EH,"53.435276,-6.24599",0,8,275
1707761410,2024-02-12T18:10:10Z,EAI58EH,"53.435349,-6.247493",0,43,275
1707761417,2024-02-12T18:10:17Z,EAI58EH,"53.435532,-6.250797",0,74,275
1707761425,2024-02-12T18:10:25Z,EAI58EH,"53.435715,-6.254517",475,82,275
1707761434,2024-02-12T18:10:34Z,EAI58EH,"53.43631,-6.264404",525,122,275
1707761443,2024-02-12T18:10:43Z,EAI58EH,"53.436848,-6.273032",800,117,275
1707761452,2024-02-12T18:10:52Z,EAI58EH,"53.437313,-6.280949",1150,109,275
1707761461,2024-02-12T18:11:01Z,EAI58EH,"53.437778,-6.2883",1450,104,276
1707761470,2024-02-12T18:11:10Z,EAI58EH,"53.438232,-6.29548",1750,100,276
1707761476,2024-02-12T18:11:16Z,EAI58EH,"53.43869,-6.30011",1875,104,281
1707761479,2024-02-12T18:11:19Z,EAI58EH,"53.439102,-6.3027",1925,108,286
1707761482,2024-02-12T18:11:22Z,EAI58EH,"53.439651,-6.305054",1950,113,293
1707761485,2024-02-12T18:11:25Z,EAI58EH,"53.440247,-6.307041",1975,117,297
1707761488,2024-02-12T18:11:28Z,EAI58EH,"53.441177,-6.309626",2000,124,305
1707761491,2024-02-12T18:11:31Z,EAI58EH,"53.442444,-6.312195",2050,131,310
1707761494,2024-02-12T18:11:34Z,EAI58EH,"53.44368,-6.314313",2075,135,316
1707761497,2024-02-12T18:11:37Z,EAI58EH,"53.445274,-6.316411",2125,142,323
1707761500,2024-02-12T18:11:40Z,EAI58EH,"53.447067,-6.318159",2150,149,331
1707761503,2024-02-12T18:11:43Z,EAI58EH,"53.449127,-6.319571",2175,157,341
1707761506,2024-02-12T18:11:46Z,EAI58EH,"53.451324,-6.320531",2225,162,346
1707761509,2024-02-12T18:11:49Z,EAI58EH,"53.453468,-6.321259",2300,164,348
1707761512,2024-02-12T18:11:52Z,EAI58EH,"53.45575,-6.322066",2350,163,348
1707761516,2024-02-12T18:11:56Z,EAI58EH,"53.457703,-6.322793",2400,163,347
1707761519,2024-02-12T18:11:59Z,EAI58EH,"53.460217,-6.323682",2450,166,346
1707761521,2024-02-12T18:12:01Z,EAI58EH,"53.462498,-6.324651",2500,167,346
1707761525,2024-02-12T18:12:05Z,EAI58EH,"53.464733,-6.325621",2550,168,345
1707761528,2024-02-12T18:12:08Z,EAI58EH,"53.46698,-6.326556",2625,168,344
1707761531,2024-02-12T18:12:11Z,EAI58EH,"53.469223,-6.327576",2675,168,344
1707761540,2024-02-12T18:12:20Z,EAI58EH,"53.475906,-6.330872",2875,168,343
1707761543,2024-02-12T18:12:23Z,EAI58EH,"53.478149,-6.33197",2950,168,343
1707761552,2024-02-12T18:12:32Z,EAI58EH,"53.485107,-6.335187",3150,169,346
1707761555,2024-02-12T18:12:35Z,EAI58EH,"53.48745,-6.335961",3225,173,351
1707761558,2024-02-12T18:12:38Z,EAI58EH,"53.490005,-6.336286",3325,176,357
1707761561,2024-02-12T18:12:41Z,EAI58EH,"53.492153,-6.336203",3400,180,4
1707761564,2024-02-12T18:12:44Z,EAI58EH,"53.494854,-6.335476",3475,184,10
1707761567,2024-02-12T18:12:47Z,EAI58EH,"53.497459,-6.334426",3550,187,15
1707761570,2024-02-12T18:12:50Z,EAI58EH,"53.499973,-6.333214",3625,187,16
1707761573,2024-02-12T18:12:53Z,EAI58EH,"53.502502,-6.331892",3700,188,17
1707761576,2024-02-12T18:12:56Z,EAI58EH,"53.50486,-6.33071",3800,187,17
1707761579,2024-02-12T18:12:59Z,EAI58EH,"53.507607,-6.329175",3875,186,17
1707761582,2024-02-12T18:13:02Z,EAI58EH,"53.510147,-6.327889",3950,186,17
1707761585,2024-02-12T18:13:05Z,EAI58EH,"53.512207,-6.326791",4025,185,17
1707761588,2024-02-12T18:13:08Z,EAI58EH,"53.514954,-6.3253",4100,185,17
1707761591,2024-02-12T18:13:11Z,EAI58EH,"53.517288,-6.324044",4175,185,17
1707761594,2024-02-12T18:13:14Z,EAI58EH,"53.519943,-6.322712",4250,186,17
1707761603,2024-02-12T18:13:23Z,EAI58EH,"53.527267,-6.318865",4425,187,17
1707761612,2024-02-12T18:13:32Z,EAI58EH,"53.534866,-6.31502",4625,187,16
1707761618,2024-02-12T18:13:38Z,EAI58EH,"53.539948,-6.312509",4750,188,16
1707761627,2024-02-12T18:13:47Z,EAI58EH,"53.547409,-6.308742",4925,189,16
1707761637,2024-02-12T18:13:57Z,EAI58EH,"53.555328,-6.304818",5125,190,16
1707761652,2024-02-12T18:14:12Z,EAI58EH,"53.568329,-6.298383",5425,193,16
1707761667,2024-02-12T18:14:27Z,EAI58EH,"53.581375,-6.29187",5700,198,16
1707761682,2024-02-12T18:14:42Z,EAI58EH,"53.594925,-6.285121",6000,200,16
1707761697,2024-02-12T18:14:57Z,EAI58EH,"53.608299,-6.278444",6300,202,16
1707761712,2024-02-12T18:15:12Z,EAI58EH,"53.621658,-6.271781",6600,203,16
1707761724,2024-02-12T18:15:24Z,EAI58EH,"53.632416,-6.266407",6875,203,16
1707761740,2024-02-12T18:15:40Z,EAI58EH,"53.646378,-6.259382",7250,202,16
1707761754,2024-02-12T18:15:54Z,EAI58EH,"53.659599,-6.252756",7575,201,16
1707761770,2024-02-12T18:16:10Z,EAI58EH,"53.673382,-6.24597",7875,203,16
1707761785,2024-02-12T18:16:25Z,EAI58EH,"53.686882,-6.239184",8150,205,16
1707761800,2024-02-12T18:16:40Z,EAI58EH,"53.700798,-6.232156",8525,201,16
1707761815,2024-02-12T18:16:55Z,EAI58EH,"53.714081,-6.22556",8850,201,16
1707761827,2024-02-12T18:17:07Z,EAI58EH,"53.724819,-6.220201",9050,204,16
1707761842,2024-02-12T18:17:22Z,EAI58EH,"53.738647,-6.213253",9350,204,16
1707761858,2024-02-12T18:17:38Z,EAI58EH,"53.75235,-6.206334",9700,199,16
1707761873,2024-02-12T18:17:53Z,EAI58EH,"53.765415,-6.199843",10000,200,16
1707761888,2024-02-12T18:18:08Z,EAI58EH,"53.7789,-6.193072",10150,206,16
1707761903,2024-02-12T18:18:23Z,EAI58EH,"53.792908,-6.186088",10400,207,16
1707761918,2024-02-12T18:18:38Z,EAI58EH,"53.807125,-6.17884",10700,208,16
1707761933,2024-02-12T18:18:53Z,EAI58EH,"53.820923,-6.171884",10925,210,16
1707761948,2024-02-12T18:19:08Z,EAI58EH,"53.835102,-6.164703",11175,211,16
1707761960,2024-02-12T18:19:20Z,EAI58EH,"53.846416,-6.158968",11400,209,16
1707761975,2024-02-12T18:19:35Z,EAI58EH,"53.860474,-6.151778",11675,208,16
1707761991,2024-02-12T18:19:51Z,EAI58EH,"53.87439,-6.144732",11925,209,16
1707762005,2024-02-12T18:20:05Z,EAI58EH,"53.887665,-6.138062",12100,212,16
1707762036,2024-02-12T18:20:36Z,EAI58EH,"53.916897,-6.123181",12575,214,16
1707762069,2024-02-12T18:21:09Z,EAI58EH,"53.948505,-6.107106",13050,214,16
1707762100,2024-02-12T18:21:40Z,EAI58EH,"53.977432,-6.09239",13425,217,16
1707762133,2024-02-12T18:22:13Z,EAI58EH,"54.009018,-6.076224",13900,216,16
1707762166,2024-02-12T18:22:46Z,EAI58EH,"54.040443,-6.056698",14450,224,25
1707762199,2024-02-12T18:23:19Z,EAI58EH,"54.071869,-6.03101",14850,228,25
1707762229,2024-02-12T18:23:49Z,EAI58EH,"54.101288,-6.007259",15000,239,24
1707762260,2024-02-12T18:24:20Z,EAI58EH,"54.13364,-5.982298",15000,255,24
1707762293,2024-02-12T18:24:53Z,EAI58EH,"54.170231,-5.954994",15000,267,23
1707762327,2024-02-12T18:25:27Z,EAI58EH,"54.208328,-5.923985",15000,282,30
1707762360,2024-02-12T18:26:00Z,EAI58EH,"54.245132,-5.88467",14975,290,31
1707762393,2024-02-12T18:26:33Z,EAI58EH,"54.283726,-5.844227",14975,294,31
1707762425,2024-02-12T18:27:05Z,EAI58EH,"54.320877,-5.805609",15000,298,31
1707762455,2024-02-12T18:27:35Z,EAI58EH,"54.35614,-5.768711",15000,302,31
1707762489,2024-02-12T18:28:09Z,EAI58EH,"54.396881,-5.726058",15000,302,31
1707762519,2024-02-12T18:28:39Z,EAI58EH,"54.432724,-5.688414",15000,301,31
1707762553,2024-02-12T18:29:13Z,EAI58EH,"54.472778,-5.646327",15000,303,31
1707762585,2024-02-12T18:29:45Z,EAI58EH,"54.511368,-5.605608",15025,301,31
1707762619,2024-02-12T18:30:19Z,EAI58EH,"54.55275,-5.566514",14975,297,26
1707762652,2024-02-12T18:30:52Z,EAI58EH,"54.593487,-5.532282",15000,296,26
1707762686,2024-02-12T18:31:26Z,EAI58EH,"54.633636,-5.498334",15000,296,26
1707762719,2024-02-12T18:31:59Z,EAI58EH,"54.675789,-5.462452",15000,297,26
1707762749,2024-02-12T18:32:29Z,EAI58EH,"54.712601,-5.430558",15000,298,27
1707762783,2024-02-12T18:33:03Z,EAI58EH,"54.754185,-5.393954",15000,302,26
1707762816,2024-02-12T18:33:36Z,EAI58EH,"54.795181,-5.358339",15000,300,26
1707762846,2024-02-12T18:34:06Z,EAI58EH,"54.832485,-5.325789",14975,300,26
1707762880,2024-02-12T18:34:40Z,EAI58EH,"54.873871,-5.289751",15000,299,26
1707762912,2024-02-12T18:35:12Z,EAI58EH,"54.914246,-5.255665",15000,298,25
1707762946,2024-02-12T18:35:46Z,EAI58EH,"54.956173,-5.221003",15000,299,25
1707762979,2024-02-12T18:36:19Z,EAI58EH,"54.997101,-5.186597",15000,300,26
1707763009,2024-02-12T18:36:49Z,EAI58EH,"55.035454,-5.153753",15000,301,26
1707763043,2024-02-12T18:37:23Z,EAI58EH,"55.077026,-5.118256",15000,302,26
1707763076,2024-02-12T18:37:56Z,EAI58EH,"55.116669,-5.084651",15000,301,26
1707763109,2024-02-12T18:38:29Z,EAI58EH,"55.160351,-5.047136",15000,302,26
1707763140,2024-02-12T18:39:00Z,EAI58EH,"55.197693,-5.011704",14975,317,40
1707763142,2024-02-12T18:39:02Z,EAI58EH,"55.200714,-5.006603",14975,320,44
1707763145,2024-02-12T18:39:05Z,EAI58EH,"55.203785,-5.000527",14975,324,50
1707763148,2024-02-12T18:39:08Z,EAI58EH,"55.205658,-4.996033",15000,326,55
1707763151,2024-02-12T18:39:11Z,EAI58EH,"55.208862,-4.986985",15000,328,60
1707763155,2024-02-12T18:39:15Z,EAI58EH,"55.211014,-4.979715",15025,329,63
1707763158,2024-02-12T18:39:18Z,EAI58EH,"55.21312,-4.972283",15050,328,63
1707763160,2024-02-12T18:39:20Z,EAI58EH,"55.215004,-4.965487",15050,328,63
1707763164,2024-02-12T18:39:24Z,EAI58EH,"55.217239,-4.957419",15050,330,64
1707763167,2024-02-12T18:39:27Z,EAI58EH,"55.219288,-4.95009",15025,330,64
1707763170,2024-02-12T18:39:30Z,EAI58EH,"55.221313,-4.942717",15000,332,64
1707763173,2024-02-12T18:39:33Z,EAI58EH,"55.223328,-4.935527",15000,332,63
1707763176,2024-02-12T18:39:36Z,EAI58EH,"55.225105,-4.929116",15000,333,63
1707763207,2024-02-12T18:40:07Z,EAI58EH,"55.246426,-4.854542",15000,335,63
1707763240,2024-02-12T18:40:40Z,EAI58EH,"55.270168,-4.773976",15000,334,62
1707763270,2024-02-12T18:41:10Z,EAI58EH,"55.291721,-4.702648",15000,333,61
1707763304,2024-02-12T18:41:44Z,EAI58EH,"55.315975,-4.623163",15000,331,62
1707763337,2024-02-12T18:42:17Z,EAI58EH,"55.339951,-4.543762",15000,331,61
1707763370,2024-02-12T18:42:50Z,EAI58EH,"55.364017,-4.464694",15000,332,61
1707763404,2024-02-12T18:43:24Z,EAI58EH,"55.388504,-4.385959",15000,334,60
1707763437,2024-02-12T18:43:57Z,EAI58EH,"55.413364,-4.307473",15000,333,60
1707763470,2024-02-12T18:44:30Z,EAI58EH,"55.438503,-4.228238",15000,336,60
1707763501,2024-02-12T18:45:01Z,EAI58EH,"55.461823,-4.15575",15000,338,60
1707763534,2024-02-12T18:45:34Z,EAI58EH,"55.487091,-4.077426",15000,336,60
1707763567,2024-02-12T18:46:07Z,EAI58EH,"55.512287,-3.998251",15000,334,61
1707763597,2024-02-12T18:46:37Z,EAI58EH,"55.534698,-3.926447",15000,330,60
1707763631,2024-02-12T18:47:11Z,EAI58EH,"55.559738,-3.847462",15000,329,60
1707763664,2024-02-12T18:47:44Z,EAI58EH,"55.584396,-3.768997",15000,334,61
1707763697,2024-02-12T18:48:17Z,EAI58EH,"55.609406,-3.689326",15000,336,60
1707763709,2024-02-12T18:48:29Z,EAI58EH,"55.61792,-3.659196",14975,336,70
1707763712,2024-02-12T18:48:32Z,EAI58EH,"55.619263,-3.651237",14975,335,74
1707763716,2024-02-12T18:48:36Z,EAI58EH,"55.620071,-3.644382",14975,334,80
1707763719,2024-02-12T18:48:39Z,EAI58EH,"55.620667,-3.634893",15000,332,84
1707763721,2024-02-12T18:48:41Z,EAI58EH,"55.620892,-3.628321",15000,332,86
1707763724,2024-02-12T18:48:44Z,EAI58EH,"55.620987,-3.620253",15025,329,89
1707763728,2024-02-12T18:48:48Z,EAI58EH,"55.621078,-3.612255",15050,329,88
1707763730,2024-02-12T18:48:50Z,EAI58EH,"55.62117,-3.603183",15050,330,88
1707763734,2024-02-12T18:48:54Z,EAI58EH,"55.621265,-3.594074",15050,330,88
1707763737,2024-02-12T18:48:57Z,EAI58EH,"55.621353,-3.587286",15025,330,88
1707763740,2024-02-12T18:49:00Z,EAI58EH,"55.621452,-3.579054",15025,331,88
1707763743,2024-02-12T18:49:03Z,EAI58EH,"55.621536,-3.570307",15000,331,88
1707763776,2024-02-12T18:49:36Z,EAI58EH,"55.622383,-3.480949",15000,330,88
1707763809,2024-02-12T18:50:09Z,EAI58EH,"55.623405,-3.390312",15000,332,88
1707763821,2024-02-12T18:50:21Z,EAI58EH,"55.625408,-3.357611",14975,336,76
1707763824,2024-02-12T18:50:24Z,EAI58EH,"55.626801,-3.349332",14950,337,72
1707763827,2024-02-12T18:50:27Z,EAI58EH,"55.628433,-3.341818",14950,336,66
1707763830,2024-02-12T18:50:30Z,EAI58EH,"55.630482,-3.334351",14975,336,62
1707763833,2024-02-12T18:50:33Z,EAI58EH,"55.632706,-3.327609",14975,334,58
1707763837,2024-02-12T18:50:37Z,EAI58EH,"55.635269,-3.320867",14975,332,54
1707763839,2024-02-12T18:50:39Z,EAI58EH,"55.638023,-3.31418",15000,331,53
