Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707503449,2024-02-09T18:30:49Z,RYR99HM,"53.431011,-6.248925",0,0,185
1707503886,2024-02-09T18:38:06Z,RYR99HM,"53.431217,-6.248886",0,3,182
1707503899,2024-02-09T18:38:19Z,RYR99HM,"53.431435,-6.248867",0,3,180
1707503913,2024-02-09T18:38:33Z,RYR99HM,"53.431656,-6.248858",0,3,182
1707503947,2024-02-09T18:39:07Z,RYR99HM,"53.43187,-6.248847",0,2,143
1707503967,2024-02-09T18:39:27Z,RYR99HM,"53.432076,-6.248965",0,3,165
1707503984,2024-02-09T18:39:44Z,RYR99HM,"53.432285,-6.2491",0,2,109
1707504183,2024-02-09T18:43:03Z,RYR99HM,"53.432316,-6.248867",0,6,95
1707504216,2024-02-09T18:43:36Z,RYR99HM,"53.432041,-6.246571",0,10,118
1707504220,2024-02-09T18:43:40Z,RYR99HM,"53.431984,-6.246218",0,10,104
1707504225,2024-02-09T18:43:45Z,RYR99HM,"53.43195,-6.245808",0,11,98
1707504229,2024-02-09T18:43:49Z,RYR99HM,"53.431927,-6.245505",0,10,95
1707504235,2024-02-09T18:43:55Z,RYR99HM,"53.431904,-6.245061",0,10,95
1707504238,2024-02-09T18:43:58Z,RYR99HM,"53.431892,-6.244786",0,9,92
1707504242,2024-02-09T18:44:02Z,RYR99HM,"53.431927,-6.244556",0,9,78
1707504246,2024-02-09T18:44:06Z,RYR99HM,"53.432007,-6.244315",0,8,56
1707504252,2024-02-09T18:44:12Z,RYR99HM,"53.432213,-6.244138",0,8,25
1707504258,2024-02-09T18:44:18Z,RYR99HM,"53.432449,-6.244092",0,8,5
1707504264,2024-02-09T18:44:24Z,RYR99HM,"53.432693,-6.244051",0,8,5
1707504270,2024-02-09T18:44:30Z,RYR99HM,"53.432926,-6.244011",0,8,5
1707504276,2024-02-09T18:44:36Z,RYR99HM,"53.433159,-6.244031",0,8,354
1707504282,2024-02-09T18:44:42Z,RYR99HM,"53.433369,-6.244213",0,9,323
1707504287,2024-02-09T18:44:47Z,RYR99HM,"53.433472,-6.244576",0,10,289
1707504290,2024-02-09T18:44:50Z,RYR99HM,"53.433483,-6.244825",0,9,275
1707504294,2024-02-09T18:44:54Z,RYR99HM,"53.433498,-6.245041",0,8,272
1707504299,2024-02-09T18:44:59Z,RYR99HM,"53.433533,-6.245324",0,7,284
1707504304,2024-02-09T18:45:04Z,RYR99HM,"53.433655,-6.245532",0,7,312
1707504312,2024-02-09T18:45:12Z,RYR99HM,"53.433872,-6.245629",0,5,351
1707504355,2024-02-09T18:45:55Z,RYR99HM,"53.434113,-6.245571",0,0,5
1707504364,2024-02-09T18:46:04Z,RYR99HM,"53.434334,-6.245546",0,7,5
1707504371,2024-02-09T18:46:11Z,RYR99HM,"53.434635,-6.245465",0,10,11
1707504376,2024-02-09T18:46:16Z,RYR99HM,"53.434845,-6.245355",0,10,19
1707504382,2024-02-09T18:46:22Z,RYR99HM,"53.435074,-6.245139",0,9,28
1707504401,2024-02-09T18:46:41Z,RYR99HM,"53.435234,-6.245355",0,2,286
1707504415,2024-02-09T18:46:55Z,RYR99HM,"53.43523,-6.245566",0,4,275
1707504420,2024-02-09T18:47:00Z,RYR99HM,"53.435234,-6.245767",0,7,275
1707504423,2024-02-09T18:47:03Z,RYR99HM,"53.435257,-6.2461",0,18,275
1707504425,2024-02-09T18:47:05Z,RYR99HM,"53.43528,-6.246493",0,28,275
1707504426,2024-02-09T18:47:06Z,RYR99HM,"53.435299,-6.246798",0,34,275
1707504427,2024-02-09T18:47:07Z,RYR99HM,"53.435314,-6.247101",0,39,275
1707504428,2024-02-09T18:47:08Z,RYR99HM,"53.435337,-6.247464",0,44,275
1707504434,2024-02-09T18:47:14Z,RYR99HM,"53.435532,-6.250817",0,74,275
1707504447,2024-02-09T18:47:27Z,RYR99HM,"53.436127,-6.261658",1325,128,275
1707504457,2024-02-09T18:47:37Z,RYR99HM,"53.43671,-6.272143",1350,162,275
1707504466,2024-02-09T18:47:46Z,RYR99HM,"53.437313,-6.284341",1650,168,275
1707504475,2024-02-09T18:47:55Z,RYR99HM,"53.438244,-6.296216",2075,170,278
1707504481,2024-02-09T18:48:01Z,RYR99HM,"53.438919,-6.303641",2350,170,280
1707504484,2024-02-09T18:48:04Z,RYR99HM,"53.439514,-6.307408",2475,172,286
1707504487,2024-02-09T18:48:07Z,RYR99HM,"53.44062,-6.311565",2625,172,296
1707504490,2024-02-09T18:48:10Z,RYR99HM,"53.44183,-6.314715",2775,171,306
1707504493,2024-02-09T18:48:13Z,RYR99HM,"53.443497,-6.318002",2925,171,311
1707504496,2024-02-09T18:48:16Z,RYR99HM,"53.445087,-6.320774",3100,170,314
1707504499,2024-02-09T18:48:19Z,RYR99HM,"53.446857,-6.323601",3225,171,316
1707504502,2024-02-09T18:48:22Z,RYR99HM,"53.448719,-6.326428",3300,174,318
1707504505,2024-02-09T18:48:25Z,RYR99HM,"53.450729,-6.329145",3400,177,320
1707504508,2024-02-09T18:48:28Z,RYR99HM,"53.452675,-6.331679",3475,181,322
1707504511,2024-02-09T18:48:31Z,RYR99HM,"53.454803,-6.334324",3550,186,323
1707504514,2024-02-09T18:48:34Z,RYR99HM,"53.457001,-6.336993",3600,191,323
1707504517,2024-02-09T18:48:37Z,RYR99HM,"53.459053,-6.339596",3650,197,322
1707504520,2024-02-09T18:48:40Z,RYR99HM,"53.461304,-6.342564",3700,201,321
1707504523,2024-02-09T18:48:43Z,RYR99HM,"53.463757,-6.345654",3750,206,322
1707504526,2024-02-09T18:48:46Z,RYR99HM,"53.466129,-6.348401",3825,212,325
1707504529,2024-02-09T18:48:49Z,RYR99HM,"53.46883,-6.350825",3900,217,332
1707504532,2024-02-09T18:48:52Z,RYR99HM,"53.471603,-6.352609",4000,221,340
1707504535,2024-02-09T18:48:55Z,RYR99HM,"53.474697,-6.353814",4125,224,348
1707504538,2024-02-09T18:48:58Z,RYR99HM,"53.477737,-6.354492",4275,225,352
1707504541,2024-02-09T18:49:01Z,RYR99HM,"53.480606,-6.354783",4425,226,356
1707504545,2024-02-09T18:49:05Z,RYR99HM,"53.484192,-6.354864",4625,227,359
1707504547,2024-02-09T18:49:07Z,RYR99HM,"53.486938,-6.354728",4775,227,1
1707504550,2024-02-09T18:49:10Z,RYR99HM,"53.490242,-6.354379",4950,226,3
1707504554,2024-02-09T18:49:14Z,RYR99HM,"53.493576,-6.353943",5125,227,5
1707504556,2024-02-09T18:49:16Z,RYR99HM,"53.496689,-6.353315",5275,228,6
1707504560,2024-02-09T18:49:20Z,RYR99HM,"53.499695,-6.35244",5400,230,10
1707504563,2024-02-09T18:49:23Z,RYR99HM,"53.502914,-6.350804",5550,231,16
1707504566,2024-02-09T18:49:26Z,RYR99HM,"53.50621,-6.348607",5725,233,23
1707504569,2024-02-09T18:49:29Z,RYR99HM,"53.509003,-6.346096",5850,234,29
1707504572,2024-02-09T18:49:32Z,RYR99HM,"53.5112,-6.34382",5975,236,32
1707504575,2024-02-09T18:49:35Z,RYR99HM,"53.514263,-6.339757",6150,235,37
