Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707673098,2024-02-11T17:38:18Z,RYR99HM,"53.431011,-6.249573",0,0,185
1707673132,2024-02-11T17:38:52Z,RYR99HM,"53.431217,-6.249573",0,3,185
1707673143,2024-02-11T17:39:03Z,RYR99HM,"53.431423,-6.249514",0,3,188
1707673155,2024-02-11T17:39:15Z,RYR99HM,"53.431633,-6.249444",0,4,185
1707673167,2024-02-11T17:39:27Z,RYR99HM,"53.431835,-6.249416",0,4,180
1707673179,2024-02-11T17:39:39Z,RYR99HM,"53.432053,-6.249416",0,3,171
1707673204,2024-02-11T17:40:04Z,RYR99HM,"53.432343,-6.249504",0,1,101
1707673357,2024-02-11T17:42:37Z,RYR99HM,"53.43232,-6.248878",0,8,95
1707673368,2024-02-11T17:42:48Z,RYR99HM,"53.43227,-6.247925",0,11,95
1707673377,2024-02-11T17:42:57Z,RYR99HM,"53.43224,-6.247181",0,11,95
1707673381,2024-02-11T17:43:01Z,RYR99HM,"53.432178,-6.246865",0,10,112
1707673387,2024-02-11T17:43:07Z,RYR99HM,"53.432053,-6.24661",0,9,126
1707673390,2024-02-11T17:43:10Z,RYR99HM,"53.431995,-6.246374",0,9,112
1707673393,2024-02-11T17:43:13Z,RYR99HM,"53.431973,-6.246111",0,10,98
1707673397,2024-02-11T17:43:17Z,RYR99HM,"53.43195,-6.245806",0,11,95
1707673401,2024-02-11T17:43:21Z,RYR99HM,"53.431938,-6.245472",0,11,95
1707673403,2024-02-11T17:43:23Z,RYR99HM,"53.431927,-6.245263",0,11,95
1707673407,2024-02-11T17:43:27Z,RYR99HM,"53.431915,-6.244982",0,10,95
1707673410,2024-02-11T17:43:30Z,RYR99HM,"53.431904,-6.244718",0,10,90
1707673413,2024-02-11T17:43:33Z,RYR99HM,"53.431938,-6.244516",0,10,78
1707673419,2024-02-11T17:43:39Z,RYR99HM,"53.43211,-6.244197",0,9,39
1707673425,2024-02-11T17:43:45Z,RYR99HM,"53.432327,-6.244099",0,9,11
1707673430,2024-02-11T17:43:50Z,RYR99HM,"53.432579,-6.24406",0,9,5
1707673438,2024-02-11T17:43:58Z,RYR99HM,"53.432812,-6.244031",0,5,5
1707673478,2024-02-11T17:44:38Z,RYR99HM,"53.433025,-6.244001",0,5,5
1707673486,2024-02-11T17:44:46Z,RYR99HM,"53.433239,-6.244031",0,7,345
1707673491,2024-02-11T17:44:51Z,RYR99HM,"53.43338,-6.244236",0,8,320
1707673495,2024-02-11T17:44:55Z,RYR99HM,"53.43346,-6.244516",0,9,292
1707673498,2024-02-11T17:44:58Z,RYR99HM,"53.433483,-6.244718",0,9,281
1707673503,2024-02-11T17:45:03Z,RYR99HM,"53.433521,-6.245081",0,10,278
1707673506,2024-02-11T17:45:06Z,RYR99HM,"53.433578,-6.245283",0,10,292
1707673511,2024-02-11T17:45:11Z,RYR99HM,"53.433731,-6.245505",0,7,320
1707673520,2024-02-11T17:45:20Z,RYR99HM,"53.433987,-6.245566",0,5,357
1707673530,2024-02-11T17:45:30Z,RYR99HM,"53.434227,-6.245551",0,6,2
1707673536,2024-02-11T17:45:36Z,RYR99HM,"53.434429,-6.245505",0,7,5
1707673542,2024-02-11T17:45:42Z,RYR99HM,"53.43465,-6.245472",0,8,5
1707673549,2024-02-11T17:45:49Z,RYR99HM,"53.434902,-6.245453",0,8,2
1707673555,2024-02-11T17:45:55Z,RYR99HM,"53.435108,-6.245453",0,7,357
1707673563,2024-02-11T17:46:03Z,RYR99HM,"53.435257,-6.245669",0,6,306
1707673585,2024-02-11T17:46:25Z,RYR99HM,"53.435253,-6.245889",0,3,278
1707673589,2024-02-11T17:46:29Z,RYR99HM,"53.43528,-6.24614",0,14,278
1707673591,2024-02-11T17:46:31Z,RYR99HM,"53.435287,-6.246414",0,18,275
1707673593,2024-02-11T17:46:33Z,RYR99HM,"53.435314,-6.246747",0,29,275
1707673595,2024-02-11T17:46:35Z,RYR99HM,"53.435349,-6.247343",0,39,275
1707673595,2024-02-11T17:46:35Z,RYR99HM,"53.43536,-6.24765",0,43,275
1707673597,2024-02-11T17:46:37Z,RYR99HM,"53.435383,-6.248062",0,48,275
1707673604,2024-02-11T17:46:44Z,RYR99HM,"53.435593,-6.251746",0,80,275
1707673611,2024-02-11T17:46:51Z,RYR99HM,"53.435871,-6.257279",775,109,275
1707673620,2024-02-11T17:47:00Z,RYR99HM,"53.436428,-6.266731",775,141,275
1707673630,2024-02-11T17:47:10Z,RYR99HM,"53.43708,-6.278121",950,159,275
1707673639,2024-02-11T17:47:19Z,RYR99HM,"53.437775,-6.288653",1400,156,276
1707673645,2024-02-11T17:47:25Z,RYR99HM,"53.438416,-6.295715",1750,151,280
1707673648,2024-02-11T17:47:28Z,RYR99HM,"53.438965,-6.299482",1950,150,285
1707673651,2024-02-11T17:47:31Z,RYR99HM,"53.439735,-6.30276",2125,149,291
1707673654,2024-02-11T17:47:34Z,RYR99HM,"53.440704,-6.305917",2275,151,298
1707673657,2024-02-11T17:47:37Z,RYR99HM,"53.441895,-6.308742",2400,153,305
1707673660,2024-02-11T17:47:40Z,RYR99HM,"53.443272,-6.311403",2525,157,311
1707673663,2024-02-11T17:47:43Z,RYR99HM,"53.444962,-6.314235",2600,161,315
1707673666,2024-02-11T17:47:46Z,RYR99HM,"53.446671,-6.316977",2675,166,316
1707673669,2024-02-11T17:47:49Z,RYR99HM,"53.448349,-6.31965",2725,171,316
1707673672,2024-02-11T17:47:52Z,RYR99HM,"53.450161,-6.322551",2750,177,316
1707673675,2024-02-11T17:47:55Z,RYR99HM,"53.451874,-6.3253",2775,183,316
1707673678,2024-02-11T17:47:58Z,RYR99HM,"53.453979,-6.328674",2850,189,316
1707673681,2024-02-11T17:48:01Z,RYR99HM,"53.455608,-6.331275",2925,193,316
