Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707766299,2024-02-12T19:31:39Z,RYR99HM,"53.43018,-6.25007",0,0,5
1707766416,2024-02-12T19:33:36Z,RYR99HM,"53.429958,-6.250083",0,3,2
1707766433,2024-02-12T19:33:53Z,RYR99HM,"53.429752,-6.250083",0,3,16
1707766455,2024-02-12T19:34:15Z,RYR99HM,"53.42955,-6.250211",0,1,90
1707766643,2024-02-12T19:37:23Z,RYR99HM,"53.429466,-6.2492",0,0,104
1707766650,2024-02-12T19:37:30Z,RYR99HM,"53.429237,-6.248939",0,8,163
1707766656,2024-02-12T19:37:36Z,RYR99HM,"53.429031,-6.249063",0,9,202
1707766662,2024-02-12T19:37:42Z,RYR99HM,"53.428852,-6.249302",0,9,222
1707766667,2024-02-12T19:37:47Z,RYR99HM,"53.428677,-6.249631",0,10,227
1707766675,2024-02-12T19:37:55Z,RYR99HM,"53.428413,-6.250103",0,11,225
1707766679,2024-02-12T19:37:59Z,RYR99HM,"53.428219,-6.250358",0,12,216
1707766685,2024-02-12T19:38:05Z,RYR99HM,"53.428013,-6.25075",0,12,239
1707766690,2024-02-12T19:38:10Z,RYR99HM,"53.427956,-6.25114",0,12,261
1707766695,2024-02-12T19:38:15Z,RYR99HM,"53.427967,-6.251726",0,13,272
1707766706,2024-02-12T19:38:26Z,RYR99HM,"53.428261,-6.252614",0,14,317
1707766714,2024-02-12T19:38:34Z,RYR99HM,"53.428783,-6.253038",0,15,337
1707766725,2024-02-12T19:38:45Z,RYR99HM,"53.429386,-6.253575",0,0,329
1707766731,2024-02-12T19:38:51Z,RYR99HM,"53.429726,-6.253846",0,14,334
1707766735,2024-02-12T19:38:55Z,RYR99HM,"53.429981,-6.254046",0,15,337
1707766748,2024-02-12T19:39:08Z,RYR99HM,"53.430931,-6.254713",0,17,337
1707766751,2024-02-12T19:39:11Z,RYR99HM,"53.431133,-6.254856",0,18,337
1707766755,2024-02-12T19:39:15Z,RYR99HM,"53.431412,-6.255066",0,18,334
1707766762,2024-02-12T19:39:22Z,RYR99HM,"53.432064,-6.255543",0,20,337
1707766767,2024-02-12T19:39:27Z,RYR99HM,"53.432484,-6.255805",0,19,343
1707766775,2024-02-12T19:39:35Z,RYR99HM,"53.433044,-6.256088",0,16,340
1707766782,2024-02-12T19:39:42Z,RYR99HM,"53.433495,-6.2564",0,13,337
1707766787,2024-02-12T19:39:47Z,RYR99HM,"53.433731,-6.256451",0,11,351
1707766791,2024-02-12T19:39:51Z,RYR99HM,"53.433941,-6.256263",0,11,33
1707766795,2024-02-12T19:39:55Z,RYR99HM,"53.434032,-6.256008",0,11,59
1707766797,2024-02-12T19:39:57Z,RYR99HM,"53.434067,-6.255772",0,12,75
1707766799,2024-02-12T19:39:59Z,RYR99HM,"53.434067,-6.255563",0,12,87
1707766801,2024-02-12T19:40:01Z,RYR99HM,"53.434055,-6.255341",0,13,92
1707766805,2024-02-12T19:40:05Z,RYR99HM,"53.434032,-6.255017",0,14,95
1707766810,2024-02-12T19:40:10Z,RYR99HM,"53.433998,-6.254379",0,16,95
1707766813,2024-02-12T19:40:13Z,RYR99HM,"53.433987,-6.254026",0,16,95
1707766815,2024-02-12T19:40:15Z,RYR99HM,"53.433975,-6.253765",0,17,95
1707766817,2024-02-12T19:40:17Z,RYR99HM,"53.433952,-6.253438",0,18,95
1707766822,2024-02-12T19:40:22Z,RYR99HM,"53.433907,-6.252731",0,19,95
1707766824,2024-02-12T19:40:24Z,RYR99HM,"53.433884,-6.252319",0,20,95
1707766832,2024-02-12T19:40:32Z,RYR99HM,"53.433826,-6.251142",0,19,95
1707766842,2024-02-12T19:40:42Z,RYR99HM,"53.433743,-6.249686",0,18,95
1707766851,2024-02-12T19:40:51Z,RYR99HM,"53.433681,-6.248494",0,15,95
1707766859,2024-02-12T19:40:59Z,RYR99HM,"53.433632,-6.247631",0,13,95
1707766875,2024-02-12T19:41:15Z,RYR99HM,"53.433586,-6.246218",0,0,84
1707766878,2024-02-12T19:41:18Z,RYR99HM,"53.433643,-6.245944",0,12,64
1707766882,2024-02-12T19:41:22Z,RYR99HM,"53.433811,-6.245708",0,12,36
1707766886,2024-02-12T19:41:26Z,RYR99HM,"53.434078,-6.245586",0,13,11
1707766890,2024-02-12T19:41:30Z,RYR99HM,"53.43433,-6.245532",0,13,5
1707766894,2024-02-12T19:41:34Z,RYR99HM,"53.434589,-6.245485",0,14,5
1707766899,2024-02-12T19:41:39Z,RYR99HM,"53.434822,-6.245425",0,12,8
1707766905,2024-02-12T19:41:45Z,RYR99HM,"53.435078,-6.245404",0,8,354
1707766910,2024-02-12T19:41:50Z,RYR99HM,"53.435223,-6.24561",0,8,317
1707766914,2024-02-12T19:41:54Z,RYR99HM,"53.435265,-6.245849",0,9,289
1707766917,2024-02-12T19:41:57Z,RYR99HM,"53.435276,-6.246091",0,11,275
1707766920,2024-02-12T19:42:00Z,RYR99HM,"53.435291,-6.246395",0,13,275
1707766922,2024-02-12T19:42:02Z,RYR99HM,"53.43531,-6.246636",0,16,275
1707766924,2024-02-12T19:42:04Z,RYR99HM,"53.435322,-6.246879",0,20,275
1707766925,2024-02-12T19:42:05Z,RYR99HM,"53.435349,-6.247277",0,30,272
1707766926,2024-02-12T19:42:06Z,RYR99HM,"53.43536,-6.247552",0,35,272
1707766927,2024-02-12T19:42:07Z,RYR99HM,"53.435383,-6.247929",0,40,275
1707766928,2024-02-12T19:42:08Z,RYR99HM,"53.435394,-6.248298",0,46,275
1707766929,2024-02-12T19:42:09Z,RYR99HM,"53.435417,-6.248696",0,51,275
1707766930,2024-02-12T19:42:10Z,RYR99HM,"53.435452,-6.24918",0,56,272
