Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707415219,2024-02-08T18:00:19Z,DLH2MH,"53.426617,-6.246414",0,0,157
1707415418,2024-02-08T18:03:38Z,DLH2MH,"53.426411,-6.246473",0,0,157
1707415434,2024-02-08T18:03:54Z,DLH2MH,"53.426617,-6.246473",0,0,157
1707415462,2024-02-08T18:04:22Z,DLH2MH,"53.42704,-6.246846",0,5,115
1707415470,2024-02-08T18:04:30Z,DLH2MH,"53.427109,-6.247101",0,0,98
1707415478,2024-02-08T18:04:38Z,DLH2MH,"53.427155,-6.247415",0,5,75
1707415488,2024-02-08T18:04:48Z,DLH2MH,"53.427097,-6.247748",0,5,61
1707415495,2024-02-08T18:04:55Z,DLH2MH,"53.427017,-6.247983",0,5,56
1707415502,2024-02-08T18:05:02Z,DLH2MH,"53.426922,-6.248232",0,5,50
1707415515,2024-02-08T18:05:15Z,DLH2MH,"53.426754,-6.248572",0,5,59
1707415523,2024-02-08T18:05:23Z,DLH2MH,"53.426666,-6.248777",0,4,81
1707415531,2024-02-08T18:05:31Z,DLH2MH,"53.426617,-6.249004",0,4,106
1707415538,2024-02-08T18:05:38Z,DLH2MH,"53.426643,-6.249241",0,4,129
1707415551,2024-02-08T18:05:51Z,DLH2MH,"53.426811,-6.249553",0,4,149
1707415773,2024-02-08T18:09:33Z,DLH2MH,"53.426247,-6.248979",0,0,154
1707415779,2024-02-08T18:09:39Z,DLH2MH,"53.42601,-6.248827",0,7,160
1707415825,2024-02-08T18:10:25Z,DLH2MH,"53.425873,-6.250397",0,8,334
1707415832,2024-02-08T18:10:32Z,DLH2MH,"53.426125,-6.250573",0,9,337
1707415840,2024-02-08T18:10:40Z,DLH2MH,"53.426479,-6.250837",0,11,337
1707415849,2024-02-08T18:10:49Z,DLH2MH,"53.426903,-6.251142",0,11,337
1707415858,2024-02-08T18:10:58Z,DLH2MH,"53.427235,-6.251652",0,13,309
1707415877,2024-02-08T18:11:17Z,DLH2MH,"53.427681,-6.253045",0,0,267
1707415905,2024-02-08T18:11:45Z,DLH2MH,"53.426411,-6.255341",0,0,225
1707415926,2024-02-08T18:12:06Z,DLH2MH,"53.425282,-6.257279",0,17,225
1707415933,2024-02-08T18:12:13Z,DLH2MH,"53.424789,-6.258087",0,19,225
1707415942,2024-02-08T18:12:22Z,DLH2MH,"53.424175,-6.259137",0,0,227
1707415950,2024-02-08T18:12:30Z,DLH2MH,"53.42363,-6.260068",0,21,225
1707415979,2024-02-08T18:12:59Z,DLH2MH,"53.42268,-6.263168",0,15,272
1707415982,2024-02-08T18:13:02Z,DLH2MH,"53.422695,-6.2635",0,16,275
1707415999,2024-02-08T18:13:19Z,DLH2MH,"53.422829,-6.265797",0,0,275
1707416008,2024-02-08T18:13:28Z,DLH2MH,"53.422894,-6.267175",0,19,275
1707416048,2024-02-08T18:14:08Z,DLH2MH,"53.423279,-6.274102",0,24,275
1707416055,2024-02-08T18:14:15Z,DLH2MH,"53.423359,-6.275556",0,26,275
1707416062,2024-02-08T18:14:22Z,DLH2MH,"53.423454,-6.27701",0,26,275
1707416071,2024-02-08T18:14:31Z,DLH2MH,"53.423546,-6.278828",0,27,275
1707416079,2024-02-08T18:14:39Z,DLH2MH,"53.423649,-6.280605",0,27,275
1707416119,2024-02-08T18:15:19Z,DLH2MH,"53.42403,-6.287632",0,17,275
1707416126,2024-02-08T18:15:26Z,DLH2MH,"53.424076,-6.288535",0,17,275
1707416137,2024-02-08T18:15:37Z,DLH2MH,"53.424091,-6.289915",0,13,264
1707416141,2024-02-08T18:15:41Z,DLH2MH,"53.424,-6.290319",0,15,244
1707416144,2024-02-08T18:15:44Z,DLH2MH,"53.42387,-6.290582",0,14,230
1707416148,2024-02-08T18:15:48Z,DLH2MH,"53.423641,-6.290811",0,15,208
1707416153,2024-02-08T18:15:53Z,DLH2MH,"53.423302,-6.290884",0,14,182
1707416157,2024-02-08T18:15:57Z,DLH2MH,"53.423023,-6.290844",0,15,174
1707416164,2024-02-08T18:16:04Z,DLH2MH,"53.422626,-6.290683",0,10,163
1707416179,2024-02-08T18:16:19Z,DLH2MH,"53.422417,-6.290006",0,5,95
1707416189,2024-02-08T18:16:29Z,DLH2MH,"53.422405,-6.289733",0,6,95
1707416191,2024-02-08T18:16:31Z,DLH2MH,"53.422394,-6.289532",0,12,95
1707416194,2024-02-08T18:16:34Z,DLH2MH,"53.422371,-6.289045",0,26,95
1707416195,2024-02-08T18:16:35Z,DLH2MH,"53.422359,-6.288784",0,31,92
1707416196,2024-02-08T18:16:36Z,DLH2MH,"53.422348,-6.288476",0,36,92
1707416197,2024-02-08T18:16:37Z,DLH2MH,"53.422325,-6.288123",0,41,95
1707416215,2024-02-08T18:16:55Z,DLH2MH,"53.421707,-6.27696",1225,117,95
1707416224,2024-02-08T18:17:04Z,DLH2MH,"53.421162,-6.266892",1300,139,96
1707416233,2024-02-08T18:17:13Z,DLH2MH,"53.420517,-6.257342",1650,136,96
1707416242,2024-02-08T18:17:22Z,DLH2MH,"53.419811,-6.24799",2050,133,96
1707416251,2024-02-08T18:17:31Z,DLH2MH,"53.419235,-6.238822",2450,130,95
1707416260,2024-02-08T18:17:40Z,DLH2MH,"53.41864,-6.229091",2725,139,95
1707416269,2024-02-08T18:17:49Z,DLH2MH,"53.418041,-6.218827",2925,152,95
1707416278,2024-02-08T18:17:58Z,DLH2MH,"53.417435,-6.207679",3100,165,95
1707416284,2024-02-08T18:18:04Z,DLH2MH,"53.417038,-6.199977",3200,173,95
1707416293,2024-02-08T18:18:13Z,DLH2MH,"53.416351,-6.186872",3375,188,95
1707416303,2024-02-08T18:18:23Z,DLH2MH,"53.415619,-6.173185",3550,203,95
1707416312,2024-02-08T18:18:32Z,DLH2MH,"53.414829,-6.158483",3825,215,95
1707416320,2024-02-08T18:18:40Z,DLH2MH,"53.414036,-6.143296",4150,227,95
1707416330,2024-02-08T18:18:50Z,DLH2MH,"53.4132,-6.126978",4450,240,94
1707416339,2024-02-08T18:18:59Z,DLH2MH,"53.412315,-6.110256",4775,252,95
1707416348,2024-02-08T18:19:08Z,DLH2MH,"53.411316,-6.090899",5200,261,95
1707416363,2024-02-08T18:19:23Z,DLH2MH,"53.409756,-6.059768",6050,266,94
1707416378,2024-02-08T18:19:38Z,DLH2MH,"53.408405,-6.028586",6975,272,91
1707416387,2024-02-08T18:19:47Z,DLH2MH,"53.408844,-6.009992",7450,278,84
1707416390,2024-02-08T18:19:50Z,DLH2MH,"53.409336,-6.003221",7625,280,83
1707416393,2024-02-08T18:19:53Z,DLH2MH,"53.40971,-5.99797",7750,281,82
1707416396,2024-02-08T18:19:56Z,DLH2MH,"53.410358,-5.990215",7925,284,82
1707416399,2024-02-08T18:19:59Z,DLH2MH,"53.410904,-5.983311",8100,284,82
