Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707501570,2024-02-09T17:59:30Z,DLH2MH,"53.426666,-6.246313",0,0,157
1707501936,2024-02-09T18:05:36Z,DLH2MH,"53.426876,-6.246475",0,2,149
1707501960,2024-02-09T18:06:00Z,DLH2MH,"53.427082,-6.246677",0,0,168
1707501984,2024-02-09T18:06:24Z,DLH2MH,"53.427292,-6.246787",0,1,227
1707502011,2024-02-09T18:06:51Z,DLH2MH,"53.427269,-6.247",0,2,247
1707502028,2024-02-09T18:07:08Z,DLH2MH,"53.4272,-6.247303",0,0,247
1707502364,2024-02-09T18:12:44Z,DLH2MH,"53.426903,-6.248101",0,0,233
1707502378,2024-02-09T18:12:58Z,DLH2MH,"53.426628,-6.248945",0,9,255
1707502390,2024-02-09T18:13:10Z,DLH2MH,"53.427036,-6.249605",0,10,329
1707502397,2024-02-09T18:13:17Z,DLH2MH,"53.427235,-6.249827",0,8,329
1707502505,2024-02-09T18:15:05Z,DLH2MH,"53.428364,-6.252695",0,0,329
1707502512,2024-02-09T18:15:12Z,DLH2MH,"53.428841,-6.253058",0,16,337
1707502522,2024-02-09T18:15:22Z,DLH2MH,"53.42955,-6.253725",0,17,331
1707502538,2024-02-09T18:15:38Z,DLH2MH,"53.43084,-6.254673",0,0,337
1707502563,2024-02-09T18:16:03Z,DLH2MH,"53.43243,-6.255792",0,0,337
1707502572,2024-02-09T18:16:12Z,DLH2MH,"53.432961,-6.256027",0,11,343
1707502579,2024-02-09T18:16:19Z,DLH2MH,"53.433239,-6.256229",0,9,337
1707502630,2024-02-09T18:17:10Z,DLH2MH,"53.43346,-6.2564",0,3,337
1707502639,2024-02-09T18:17:19Z,DLH2MH,"53.433678,-6.256518",0,6,343
1707502651,2024-02-09T18:17:31Z,DLH2MH,"53.434055,-6.256189",0,10,42
1707502653,2024-02-09T18:17:33Z,DLH2MH,"53.434101,-6.255947",0,11,67
1707502656,2024-02-09T18:17:36Z,DLH2MH,"53.434101,-6.255664",0,12,87
1707502658,2024-02-09T18:17:38Z,DLH2MH,"53.43409,-6.255462",0,12,92
