Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707588063,2024-02-10T18:01:03Z,DLH2MH,"53.426559,-6.246905",0,0,146
1707588170,2024-02-10T18:02:50Z,DLH2MH,"53.426754,-6.24712",0,2,146
1707588190,2024-02-10T18:03:10Z,DLH2MH,"53.42688,-6.247336",0,2,165
1707588221,2024-02-10T18:03:41Z,DLH2MH,"53.427097,-6.247545",0,1,230
1707588267,2024-02-10T18:04:27Z,DLH2MH,"53.4268,-6.24718",0,0,250
1707588373,2024-02-10T18:06:13Z,DLH2MH,"53.427155,-6.247493",0,0,247
1707588385,2024-02-10T18:06:25Z,DLH2MH,"53.427002,-6.247868",0,6,236
1707588391,2024-02-10T18:06:31Z,DLH2MH,"53.426899,-6.248111",0,8,233
1707588399,2024-02-10T18:06:39Z,DLH2MH,"53.426735,-6.248474",0,7,233
1707588422,2024-02-10T18:07:02Z,DLH2MH,"53.427177,-6.249767",0,0,326
1707588429,2024-02-10T18:07:09Z,DLH2MH,"53.427509,-6.250122",0,12,329
1707588438,2024-02-10T18:07:18Z,DLH2MH,"53.427876,-6.25073",0,14,306
1707588440,2024-02-10T18:07:20Z,DLH2MH,"53.427921,-6.251019",0,15,292
1707588445,2024-02-10T18:07:25Z,DLH2MH,"53.427956,-6.251554",0,15,275
1707588456,2024-02-10T18:07:36Z,DLH2MH,"53.428402,-6.25279",0,0,326
1707588468,2024-02-10T18:07:48Z,DLH2MH,"53.428772,-6.253018",0,6,337
1707588479,2024-02-10T18:07:59Z,DLH2MH,"53.429108,-6.253281",0,8,334
1707588487,2024-02-10T18:08:07Z,DLH2MH,"53.429413,-6.253624",0,0,326
1707588496,2024-02-10T18:08:16Z,DLH2MH,"53.430004,-6.254068",0,16,337
1707588507,2024-02-10T18:08:27Z,DLH2MH,"53.430862,-6.254693",0,19,337
1707588510,2024-02-10T18:08:30Z,DLH2MH,"53.431156,-6.254896",0,20,337
1707588516,2024-02-10T18:08:36Z,DLH2MH,"53.431644,-6.25526",0,20,337
1707588526,2024-02-10T18:08:46Z,DLH2MH,"53.432438,-6.255805",0,20,340
1707588529,2024-02-10T18:08:49Z,DLH2MH,"53.432774,-6.255967",0,20,343
1707588536,2024-02-10T18:08:56Z,DLH2MH,"53.433334,-6.256321",0,17,337
1707588541,2024-02-10T18:09:01Z,DLH2MH,"53.433643,-6.256537",0,15,343
1707588547,2024-02-10T18:09:07Z,DLH2MH,"53.434044,-6.256204",0,15,36
1707588550,2024-02-10T18:09:10Z,DLH2MH,"53.434101,-6.255846",0,15,67
1707588552,2024-02-10T18:09:12Z,DLH2MH,"53.43409,-6.255596",0,15,84
1707588554,2024-02-10T18:09:14Z,DLH2MH,"53.434067,-6.255341",0,15,92
1707588557,2024-02-10T18:09:17Z,DLH2MH,"53.434055,-6.255046",0,15,95
1707588559,2024-02-10T18:09:19Z,DLH2MH,"53.434044,-6.254755",0,16,95
1707588561,2024-02-10T18:09:21Z,DLH2MH,"53.434032,-6.254533",0,16,95
1707588563,2024-02-10T18:09:23Z,DLH2MH,"53.43401,-6.254222",0,17,95
1707588565,2024-02-10T18:09:25Z,DLH2MH,"53.433998,-6.253947",0,17,95
1707588567,2024-02-10T18:09:27Z,DLH2MH,"53.433975,-6.253644",0,18,95
1707588574,2024-02-10T18:09:34Z,DLH2MH,"53.433929,-6.252515",0,19,95
1707588581,2024-02-10T18:09:41Z,DLH2MH,"53.433861,-6.251437",0,21,95
1707588588,2024-02-10T18:09:48Z,DLH2MH,"53.433788,-6.250231",0,22,95
1707588594,2024-02-10T18:09:54Z,DLH2MH,"53.433723,-6.249082",0,23,95
1707588601,2024-02-10T18:10:01Z,DLH2MH,"53.433659,-6.247868",0,21,95
1707588610,2024-02-10T18:10:10Z,DLH2MH,"53.433586,-6.246669",0,16,95
1707588614,2024-02-10T18:10:14Z,DLH2MH,"53.43359,-6.246233",0,14,90
1707588617,2024-02-10T18:10:17Z,DLH2MH,"53.433624,-6.24601",0,13,78
1707588619,2024-02-10T18:10:19Z,DLH2MH,"53.433704,-6.245788",0,12,64
1707588624,2024-02-10T18:10:24Z,DLH2MH,"53.433941,-6.24559",0,11,30
1707588631,2024-02-10T18:10:31Z,DLH2MH,"53.434284,-6.245571",0,13,5
1707588634,2024-02-10T18:10:34Z,DLH2MH,"53.434498,-6.245525",0,14,5
1707588638,2024-02-10T18:10:38Z,DLH2MH,"53.434742,-6.245492",0,14,5
1707588641,2024-02-10T18:10:41Z,DLH2MH,"53.434959,-6.245472",0,12,2
1707588647,2024-02-10T18:10:47Z,DLH2MH,"53.4352,-6.245532",0,10,345
1707588652,2024-02-10T18:10:52Z,DLH2MH,"53.43528,-6.245826",0,7,312
1707588657,2024-02-10T18:10:57Z,DLH2MH,"53.435291,-6.24612",0,8,284
1707588660,2024-02-10T18:11:00Z,DLH2MH,"53.43528,-6.246336",0,9,275
1707588663,2024-02-10T18:11:03Z,DLH2MH,"53.435303,-6.24661",0,12,275
1707588665,2024-02-10T18:11:05Z,DLH2MH,"53.43531,-6.246899",0,15,275
1707588666,2024-02-10T18:11:06Z,DLH2MH,"53.435322,-6.247101",0,19,275
1707588667,2024-02-10T18:11:07Z,DLH2MH,"53.435337,-6.247356",0,24,275
1707588668,2024-02-10T18:11:08Z,DLH2MH,"53.43536,-6.247626",0,30,275
1707588669,2024-02-10T18:11:09Z,DLH2MH,"53.435371,-6.247929",0,35,275
1707588670,2024-02-10T18:11:10Z,DLH2MH,"53.435406,-6.248414",0,41,275
1707588671,2024-02-10T18:11:11Z,DLH2MH,"53.435429,-6.248858",0,46,275
1707588672,2024-02-10T18:11:12Z,DLH2MH,"53.435452,-6.249201",0,52,275
1707588673,2024-02-10T18:11:13Z,DLH2MH,"53.435474,-6.249749",0,57,275
1707588687,2024-02-10T18:11:27Z,DLH2MH,"53.436081,-6.261108",1075,125,275
1707588696,2024-02-10T18:11:36Z,DLH2MH,"53.436676,-6.271153",1100,155,275
1707588705,2024-02-10T18:11:45Z,DLH2MH,"53.437359,-6.282887",1475,162,276
1707588714,2024-02-10T18:11:54Z,DLH2MH,"53.43837,-6.294381",1825,166,281
1707588717,2024-02-10T18:11:57Z,DLH2MH,"53.439083,-6.297509",1950,166,286
1707588721,2024-02-10T18:12:01Z,DLH2MH,"53.440384,-6.301287",2100,166,299
1707588724,2024-02-10T18:12:04Z,DLH2MH,"53.442078,-6.304426",2250,165,308
1707588727,2024-02-10T18:12:07Z,DLH2MH,"53.443504,-6.306798",2375,163,315
1707588730,2024-02-10T18:12:10Z,DLH2MH,"53.445229,-6.309464",2500,164,316
1707588733,2024-02-10T18:12:13Z,DLH2MH,"53.446857,-6.312453",2600,166,313
1707588736,2024-02-10T18:12:16Z,DLH2MH,"53.448349,-6.315491",2675,169,309
1707588739,2024-02-10T18:12:19Z,DLH2MH,"53.449837,-6.318674",2775,172,308
1707588742,2024-02-10T18:12:22Z,DLH2MH,"53.451279,-6.321824",2850,175,308
1707588745,2024-02-10T18:12:25Z,DLH2MH,"53.452862,-6.325217",2925,178,308
1707588748,2024-02-10T18:12:28Z,DLH2MH,"53.454491,-6.328609",3025,181,308
1707588751,2024-02-10T18:12:31Z,DLH2MH,"53.456261,-6.332325",3100,184,308
1707588760,2024-02-10T18:12:40Z,DLH2MH,"53.461945,-6.341309",3325,195,319
1707588763,2024-02-10T18:12:43Z,DLH2MH,"53.464314,-6.343958",3400,198,323
1707588766,2024-02-10T18:12:46Z,DLH2MH,"53.46669,-6.34622",3475,202,328
1707588769,2024-02-10T18:12:49Z,DLH2MH,"53.469635,-6.34845",3550,206,335
1707588772,2024-02-10T18:12:52Z,DLH2MH,"53.472416,-6.349855",3625,209,341
1707588775,2024-02-10T18:12:55Z,DLH2MH,"53.475395,-6.350905",3700,213,347
1707588778,2024-02-10T18:12:58Z,DLH2MH,"53.478233,-6.351229",3775,215,353
1707588781,2024-02-10T18:13:01Z,DLH2MH,"53.481262,-6.351353",3875,216,358
1707588784,2024-02-10T18:13:04Z,DLH2MH,"53.48447,-6.351309",4025,217,358
1707588788,2024-02-10T18:13:08Z,DLH2MH,"53.487591,-6.351148",4150,218,1
1707588791,2024-02-10T18:13:11Z,DLH2MH,"53.490196,-6.351067",4275,218,1
1707588794,2024-02-10T18:13:14Z,DLH2MH,"53.49313,-6.350825",4400,219,2
1707588797,2024-02-10T18:13:17Z,DLH2MH,"53.49625,-6.350663",4525,220,2
1707588800,2024-02-10T18:13:20Z,DLH2MH,"53.499832,-6.350178",4675,220,4
1707588803,2024-02-10T18:13:23Z,DLH2MH,"53.50272,-6.34929",4800,220,8
1707588806,2024-02-10T18:13:26Z,DLH2MH,"53.505615,-6.347979",4925,219,13
1707588809,2024-02-10T18:13:29Z,DLH2MH,"53.508724,-6.346139",5000,222,17
1707588812,2024-02-10T18:13:32Z,DLH2MH,"53.511471,-6.344039",5100,224,23
1707588815,2024-02-10T18:13:35Z,DLH2MH,"53.513893,-6.341535",5225,224,29
1707588818,2024-02-10T18:13:38Z,DLH2MH,"53.516693,-6.338013",5400,223,35
1707588821,2024-02-10T18:13:41Z,DLH2MH,"53.518921,-6.334426",5550,222,42
1707588824,2024-02-10T18:13:44Z,DLH2MH,"53.520782,-6.330468",5700,221,49
1707588827,2024-02-10T18:13:47Z,DLH2MH,"53.522461,-6.326241",5825,221,55
1707588830,2024-02-10T18:13:50Z,DLH2MH,"53.52404,-6.320935",5925,223,60
1707588833,2024-02-10T18:13:53Z,DLH2MH,"53.525158,-6.315765",6000,226,67
1707588836,2024-02-10T18:13:56Z,DLH2MH,"53.525894,-6.310468",6100,229,74
1707588839,2024-02-10T18:13:59Z,DLH2MH,"53.52623,-6.305021",6175,233,81
1707588842,2024-02-10T18:14:02Z,DLH2MH,"53.526352,-6.299247",6275,237,86
1707588845,2024-02-10T18:14:05Z,DLH2MH,"53.526367,-6.29355",6350,242,89
1707588848,2024-02-10T18:14:08Z,DLH2MH,"53.526276,-6.287976",6425,247,91
1707588851,2024-02-10T18:14:11Z,DLH2MH,"53.526077,-6.282375",6525,250,93
1707588854,2024-02-10T18:14:14Z,DLH2MH,"53.525764,-6.276424",6600,254,95
1707588857,2024-02-10T18:14:17Z,DLH2MH,"53.525208,-6.269662",6725,258,97
1707588860,2024-02-10T18:14:20Z,DLH2MH,"53.524647,-6.263742",6825,260,99
1707588863,2024-02-10T18:14:23Z,DLH2MH,"53.523994,-6.257441",6950,262,99
1707588867,2024-02-10T18:14:27Z,DLH2MH,"53.523342,-6.251625",7050,265,100
1707588870,2024-02-10T18:14:30Z,DLH2MH,"53.52269,-6.245485",7175,267,100
1707588873,2024-02-10T18:14:33Z,DLH2MH,"53.522038,-6.239507",7325,268,100
1707588888,2024-02-10T18:14:48Z,DLH2MH,"53.518753,-6.20704",8100,273,99
1707588903,2024-02-10T18:15:03Z,DLH2MH,"53.51564,-6.175807",8800,280,99
1707588918,2024-02-10T18:15:18Z,DLH2MH,"53.512447,-6.142811",9550,284,99
1707588933,2024-02-10T18:15:33Z,DLH2MH,"53.50919,-6.109448",10325,288,99
