Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707674144,2024-02-11T17:55:44Z,DLH2MH,"53.426582,-6.246919",0,0,146
1707674200,2024-02-11T17:56:40Z,DLH2MH,"53.426743,-6.24712",0,2,154
1707674225,2024-02-11T17:57:05Z,DLH2MH,"53.426949,-6.247297",0,2,188
1707674253,2024-02-11T17:57:33Z,DLH2MH,"53.427166,-6.247283",0,1,230
1707674295,2024-02-11T17:58:15Z,DLH2MH,"53.426792,-6.247161",0,1,244
1707674323,2024-02-11T17:58:43Z,DLH2MH,"53.427177,-6.247384",0,0,244
1707674548,2024-02-11T18:02:28Z,DLH2MH,"53.426662,-6.24869",0,8,241
1707674554,2024-02-11T18:02:34Z,DLH2MH,"53.426662,-6.249043",0,8,270
1707674571,2024-02-11T18:02:51Z,DLH2MH,"53.427166,-6.249746",0,0,326
1707674587,2024-02-11T18:03:07Z,DLH2MH,"53.427551,-6.25015",0,0,329
1707674597,2024-02-11T18:03:17Z,DLH2MH,"53.427864,-6.250655",0,10,306
1707674611,2024-02-11T18:03:31Z,DLH2MH,"53.427979,-6.251927",0,10,275
1707674628,2024-02-11T18:03:48Z,DLH2MH,"53.428288,-6.252614",0,0,326
1707674653,2024-02-11T18:04:13Z,DLH2MH,"53.428699,-6.252927",0,9,334
1707674658,2024-02-11T18:04:18Z,DLH2MH,"53.428905,-6.253104",0,10,334
1707674671,2024-02-11T18:04:31Z,DLH2MH,"53.429447,-6.253624",0,11,326
1707674677,2024-02-11T18:04:37Z,DLH2MH,"53.429783,-6.253887",0,13,334
1707674694,2024-02-11T18:04:54Z,DLH2MH,"53.430862,-6.254673",0,17,337
1707674698,2024-02-11T18:04:58Z,DLH2MH,"53.431229,-6.254937",0,17,337
1707674704,2024-02-11T18:05:04Z,DLH2MH,"53.431622,-6.255219",0,17,337
1707674710,2024-02-11T18:05:10Z,DLH2MH,"53.432076,-6.255557",0,16,337
1707674718,2024-02-11T18:05:18Z,DLH2MH,"53.432507,-6.255825",0,12,343
1707674725,2024-02-11T18:05:25Z,DLH2MH,"53.432922,-6.255988",0,13,343
1707674732,2024-02-11T18:05:32Z,DLH2MH,"53.433357,-6.256341",0,15,337
1707674737,2024-02-11T18:05:37Z,DLH2MH,"53.433613,-6.256492",0,11,343
1707674747,2024-02-11T18:05:47Z,DLH2MH,"53.434044,-6.256088",0,12,47
1707674749,2024-02-11T18:05:49Z,DLH2MH,"53.43409,-6.255846",0,13,70
1707674751,2024-02-11T18:05:51Z,DLH2MH,"53.434078,-6.255596",0,14,84
1707674754,2024-02-11T18:05:54Z,DLH2MH,"53.434078,-6.255321",0,14,92
1707674756,2024-02-11T18:05:56Z,DLH2MH,"53.434055,-6.255105",0,14,95
1707674759,2024-02-11T18:05:59Z,DLH2MH,"53.434044,-6.254733",0,15,95
1707674762,2024-02-11T18:06:02Z,DLH2MH,"53.434021,-6.254371",0,16,95
1707674764,2024-02-11T18:06:04Z,DLH2MH,"53.433998,-6.254105",0,16,95
1707674766,2024-02-11T18:06:06Z,DLH2MH,"53.433987,-6.25381",0,17,95
1707674768,2024-02-11T18:06:08Z,DLH2MH,"53.433975,-6.253503",0,18,95
1707674776,2024-02-11T18:06:16Z,DLH2MH,"53.433907,-6.252261",0,20,95
1707674783,2024-02-11T18:06:23Z,DLH2MH,"53.433834,-6.251059",0,22,95
1707674790,2024-02-11T18:06:30Z,DLH2MH,"53.433765,-6.249888",0,23,95
1707674797,2024-02-11T18:06:37Z,DLH2MH,"53.433701,-6.248592",0,22,95
1707674805,2024-02-11T18:06:45Z,DLH2MH,"53.433643,-6.247591",0,13,95
1707674814,2024-02-11T18:06:54Z,DLH2MH,"53.433598,-6.246826",0,11,95
1707674821,2024-02-11T18:07:01Z,DLH2MH,"53.433586,-6.246296",0,11,90
1707674823,2024-02-11T18:07:03Z,DLH2MH,"53.433613,-6.246071",0,10,81
1707674827,2024-02-11T18:07:07Z,DLH2MH,"53.433681,-6.245829",0,9,70
1707674832,2024-02-11T18:07:12Z,DLH2MH,"53.433823,-6.245626",0,7,42
1707674841,2024-02-11T18:07:21Z,DLH2MH,"53.434078,-6.245566",0,7,8
1707674847,2024-02-11T18:07:27Z,DLH2MH,"53.434299,-6.245546",0,8,5
1707674852,2024-02-11T18:07:32Z,DLH2MH,"53.434536,-6.245492",0,10,5
1707674856,2024-02-11T18:07:36Z,DLH2MH,"53.434742,-6.245472",0,12,5
1707674860,2024-02-11T18:07:40Z,DLH2MH,"53.434948,-6.245453",0,11,5
1707674867,2024-02-11T18:07:47Z,DLH2MH,"53.435177,-6.245414",0,6,2
1707674874,2024-02-11T18:07:54Z,DLH2MH,"53.435291,-6.245649",0,6,315
1707674879,2024-02-11T18:07:59Z,DLH2MH,"53.43528,-6.245904",0,7,278
1707674930,2024-02-11T18:08:50Z,DLH2MH,"53.435303,-6.246512",0,14,272
1707674938,2024-02-11T18:08:58Z,DLH2MH,"53.43544,-6.248919",0,54,275
1707674951,2024-02-11T18:09:11Z,DLH2MH,"53.435917,-6.258168",775,112,274
1707674960,2024-02-11T18:09:20Z,DLH2MH,"53.436523,-6.267942",1000,135,276
