Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707761014,2024-02-12T18:03:34Z,DLH2MH,"53.426247,-6.24704",0,3,90
1707761023,2024-02-12T18:03:43Z,DLH2MH,"53.426235,-6.247262",0,3,90
1707761031,2024-02-12T18:03:51Z,DLH2MH,"53.426239,-6.247474",0,4,84
1707761042,2024-02-12T18:04:02Z,DLH2MH,"53.426247,-6.247727",0,3,73
1707761052,2024-02-12T18:04:12Z,DLH2MH,"53.426193,-6.247944",0,3,67
1707761063,2024-02-12T18:04:23Z,DLH2MH,"53.426117,-6.248171",0,3,87
1707761073,2024-02-12T18:04:33Z,DLH2MH,"53.426079,-6.248376",0,3,120
1707761094,2024-02-12T18:04:54Z,DLH2MH,"53.426224,-6.248716",0,2,146
1707761127,2024-02-12T18:05:27Z,DLH2MH,"53.426239,-6.247395",0,0,154
1707761365,2024-02-12T18:09:25Z,DLH2MH,"53.426292,-6.248837",0,0,154
1707761391,2024-02-12T18:09:51Z,DLH2MH,"53.425896,-6.24871",0,7,180
1707761406,2024-02-12T18:10:06Z,DLH2MH,"53.425503,-6.249484",0,0,253
1707761418,2024-02-12T18:10:18Z,DLH2MH,"53.425957,-6.250271",0,13,331
1707761423,2024-02-12T18:10:23Z,DLH2MH,"53.426228,-6.250495",0,14,334
1707761427,2024-02-12T18:10:27Z,DLH2MH,"53.426502,-6.250691",0,14,337
1707761433,2024-02-12T18:10:33Z,DLH2MH,"53.426834,-6.250907",0,12,334
1707761438,2024-02-12T18:10:38Z,DLH2MH,"53.427052,-6.251201",0,12,317
1707761444,2024-02-12T18:10:44Z,DLH2MH,"53.427258,-6.251652",0,12,306
1707761448,2024-02-12T18:10:48Z,DLH2MH,"53.427395,-6.251907",0,13,315
1707761454,2024-02-12T18:10:54Z,DLH2MH,"53.427715,-6.252241",0,13,329
1707761466,2024-02-12T18:11:06Z,DLH2MH,"53.428318,-6.252655",0,12,337
1707761471,2024-02-12T18:11:11Z,DLH2MH,"53.428608,-6.252877",0,13,337
1707761482,2024-02-12T18:11:22Z,DLH2MH,"53.429272,-6.253422",0,14,329
1707761487,2024-02-12T18:11:27Z,DLH2MH,"53.429562,-6.253705",0,15,329
1707761494,2024-02-12T18:11:34Z,DLH2MH,"53.430016,-6.254068",0,16,334
1707761505,2024-02-12T18:11:45Z,DLH2MH,"53.430889,-6.254694",0,18,334
1707761508,2024-02-12T18:11:48Z,DLH2MH,"53.431133,-6.254876",0,19,337
1707761511,2024-02-12T18:11:51Z,DLH2MH,"53.431377,-6.255046",0,19,337
1707761514,2024-02-12T18:11:54Z,DLH2MH,"53.431629,-6.255242",0,19,334
1707761522,2024-02-12T18:12:02Z,DLH2MH,"53.432137,-6.255603",0,16,337
1707761525,2024-02-12T18:12:05Z,DLH2MH,"53.432442,-6.255792",0,16,340
1707761528,2024-02-12T18:12:08Z,DLH2MH,"53.432671,-6.25589",0,17,345
1707761536,2024-02-12T18:12:16Z,DLH2MH,"53.433174,-6.256184",0,15,337
1707761543,2024-02-12T18:12:23Z,DLH2MH,"53.43359,-6.256451",0,12,345
1707761548,2024-02-12T18:12:28Z,DLH2MH,"53.433838,-6.25642",0,11,8
1707761551,2024-02-12T18:12:31Z,DLH2MH,"53.43401,-6.256189",0,12,39
1707761554,2024-02-12T18:12:34Z,DLH2MH,"53.434067,-6.255926",0,13,59
1707761557,2024-02-12T18:12:37Z,DLH2MH,"53.43409,-6.255694",0,14,75
1707761559,2024-02-12T18:12:39Z,DLH2MH,"53.43409,-6.255462",0,14,90
1707761561,2024-02-12T18:12:41Z,DLH2MH,"53.434067,-6.255242",0,14,92
1707761563,2024-02-12T18:12:43Z,DLH2MH,"53.434055,-6.255007",0,14,95
1707761565,2024-02-12T18:12:45Z,DLH2MH,"53.434044,-6.254775",0,15,95
1707761567,2024-02-12T18:12:47Z,DLH2MH,"53.434032,-6.254573",0,14,95
1707761568,2024-02-12T18:12:48Z,DLH2MH,"53.434021,-6.254351",0,14,95
1707761571,2024-02-12T18:12:51Z,DLH2MH,"53.43401,-6.254129",0,13,95
1707761573,2024-02-12T18:12:53Z,DLH2MH,"53.433998,-6.253909",0,13,95
1707761579,2024-02-12T18:12:59Z,DLH2MH,"53.433964,-6.253261",0,14,95
1707761587,2024-02-12T18:13:07Z,DLH2MH,"53.433914,-6.252331",0,15,95
1707761594,2024-02-12T18:13:14Z,DLH2MH,"53.433861,-6.251358",0,17,95
1707761601,2024-02-12T18:13:21Z,DLH2MH,"53.433804,-6.250338",0,19,95
1707761608,2024-02-12T18:13:28Z,DLH2MH,"53.433735,-6.2492",0,21,95
1707761615,2024-02-12T18:13:35Z,DLH2MH,"53.433678,-6.248082",0,21,95
1707761621,2024-02-12T18:13:41Z,DLH2MH,"53.433643,-6.247258",0,18,95
