Customer_Age,Transaction_Count,Product_Category,Region,Repeat_Customer,Income_Level,Annual_Spend,Average_Discount_Utilized,Session_Duration_Minutes,Page_Views_per_Session,Ad_Clicks_per_Session,Products_Viewed_per_Session,Subscription_Status,Sales_Amount_ImputeMean,Customer_LT_ImputeMean
26,7,B,East,Yes,Low,2331.979201,21.72191328,28.15854184,4,6,1,Not_Subscribed,109.9342831,12483.57077
62,3,B,North,Yes,Medium,797.0442986,24.96639451,18.69821271,4,2,5,Not_Subscribed,97.23471398,9308.678494
26,6,B,East,No,Medium,2069.692403,28.31882348,32.73010717,5,0,6,Subscribed,112.9537708,13238.44269
43,2,C,North,No,Medium,999.4914446,5.503446224,9.253599625,5,0,5,Not_Subscribed,130.4605971,17615.14928
21,4,A,East,No,Low,4137.058445,8.844592638,29.08043217,6,2,2,Not_Subscribed,95.31693251,8829.233126
34,5,D,East,Yes,High,4764.596117,27.15428235,30.16025282,11,3,5,Subscribed,95.31726086,8829.315215
33,3,D,West,Yes,Low,825.4241387,16.46296405,37.94600383,8,1,4,Not_Subscribed,131.5842563,17896.06408
32,9,C,East,Yes,High,4798.018433,19.11476597,39.73622249,7,1,5,Not_Subscribed,115.3486946,13837.17365
52,8,D,North,No,Medium,2851.594697,21.57568009,24.96430381,7,2,2,Not_Subscribed,90.61051228,7652.62807
22,4,D,East,Yes,Low,1848.045551,21.97666511,28.49385985,4,4,2,Subscribed,110.8512009,12712.80022
22,2,D,South,No,High,845.8793387,28.29351008,22.33879169,8,1,1,Not_Subscribed,90.73164614,7682.911536
37,3,A,East,No,Low,2752.809206,29.92373544,18.71937445,6,1,7,Subscribed,90.68540493,7671.351232
32,2,D,East,Yes,High,4075.31995,23.00393652,33.09894779,2,0,3,Subscribed,104.8392454,11209.81136
35,4,A,South,Yes,High,3681.889148,12.18053023,17.26414451,4,1,1,Not_Subscribed,61.73439511,433.5987767
64,4,D,South,No,Low,726.0170516,26.99381006,25.85373099,0,0,6,Subscribed,65.50164335,1375.410837
19,5,D,North,Yes,Medium,828.0582592,6.230522864,20.0482604,6,1,4,Not_Subscribed,88.75424942,7188.562354
46,8,A,South,No,Low,2312.929772,10.77702132,35.49683186,0,2,6,Not_Subscribed,79.74337759,4935.844398
30,6,C,South,No,Medium,1828.807223,27.43464294,48.01430099,7,3,1,Not_Subscribed,106.2849467,11571.23666
21,3,D,North,Yes,High,1545.729454,11.40478786,16.98412017,9,1,5,Subscribed,81.83951849,5459.879622
59,5,B,North,Yes,High,1764.520245,10.51627649,11.46981517,7,4,4,Not_Subscribed,71.75392597,2938.481493
