InvoiceNo,ItemCode,Most popular item of the day,Quantity,Date,UnitPrice,CustomerID
1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,01/12/2018,2.55,43009
2,71053,WHITE METAL LANTERN,6,02/12/2018,3.39,79874
3,84406B,CREAM CUPID HEARTS COAT HANGER,8,03/12/2018,2.75,45061
4,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,04/12/2018,3.39,47110
5,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,05/12/2018,3.39,77834
6,22752,SET 7 BABUSHKA NESTING BOXES,2,06/12/2018,7.65,55306
7,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,07/12/2018,4.25,32781
8,22633,HAND WARMER UNION JACK,6,08/12/2018,1.85,61453
9,22632,HAND WARMER RED POLKA DOT,6,09/12/2018,1.85,90129
10,84879,ASSORTED COLOUR BIRD ORNAMENT,32,10/12/2018,1.69,67602
11,22745,POPPY'S PLAYHOUSE BEDROOM ,6,11/12/2018,2.1,98324
12,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/12/2018,2.1,24599
13,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,13/12/2018,3.75,88088
14,22310,IVORY KNITTED MUG COSY ,6,14/12/2018,1.65,57369
15,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,15/12/2018,4.25,63514
16,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,16/12/2018,4.95,75806
17,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,17/12/2018,9.95,43040
18,21754,HOME BUILDING BLOCK WORD,3,18/12/2018,5.95,96291
19,21755,LOVE BUILDING BLOCK WORD,3,19/12/2018,5.95,84004
20,21777,RECIPE BOX WITH METAL HEART,4,20/12/2018,7.95,71718
21,48187,DOORMAT NEW ENGLAND,4,21/12/2018,7.95,51240
22,22960,JAM MAKING SET WITH JARS,6,22/12/2018,4.25,34860
23,22913,RED COAT RACK PARIS FASHION,3,23/12/2018,4.95,43053
24,22912,YELLOW COAT RACK PARIS FASHION,3,24/12/2018,4.95,45103
25,22914,BLUE COAT RACK PARIS FASHION,3,25/12/2018,4.95,38961
26,21756,BATH BUILDING BLOCK WORD,3,26/12/2018,5.95,20530
27,22728,ALARM CLOCK BAKELIKE PINK,24,27/12/2018,3.75,65586
28,22727,ALARM CLOCK BAKELIKE RED ,24,28/12/2018,3.75,77876
29,22726,ALARM CLOCK BAKELIKE GREEN,12,29/12/2018,3.75,53303
30,21724,PANDA AND BUNNIES STICKER SHEET,12,30/12/2018,0.85,30777
31,21883,STARS GIFT TAPE ,24,31/12/2018,0.65,12345
32,10002,INFLATABLE POLITICAL GLOBE ,48,01/01/2019,0.85,77881
33,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,02/01/2019,1.25,28730
34,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,03/01/2019,2.95,81981
35,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,04/01/2019,2.95,92222
36,22629,SPACEBOY LUNCH BOX ,24,05/01/2019,1.95,32827
37,22659,LUNCH BOX I LOVE LONDON,24,06/01/2019,1.95,53312
38,22631,CIRCUS PARADE LUNCH BOX ,24,07/01/2019,1.95,30787
39,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,08/01/2019,0.85,34883
40,21731,RED TOADSTOOL LED NIGHT LIGHT,24,09/01/2019,1.65,34886
41,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,10/01/2019,2.95,73799
42,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,11/01/2019,3.75,55367
43,22540,MINI JIGSAW CIRCUS PARADE ,24,12/01/2019,0.42,65610
44,22544,MINI JIGSAW SPACEBOY,24,13/01/2019,0.42,77899
45,22492,MINI PAINT SET VINTAGE ,36,14/01/2019,0.65,22603
46,POST,POSTAGE,3,15/01/2019,18,34894
47,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,16/01/2019,2.55,38994
48,22632,HAND WARMER RED POLKA DOT,6,17/01/2019,1.85,34900
49,22633,HAND WARMER UNION JACK,6,18/01/2019,1.85,84055
50,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,19/01/2019,2.55,92249
51,71053,WHITE METAL LANTERN,6,20/01/2019,3.39,94300
52,84406B,CREAM CUPID HEARTS COAT HANGER,8,21/01/2019,2.75,28765
53,20679,EDWARDIAN PARASOL RED,6,22/01/2019,4.95,43102
54,37370,RETRO COFFEE MUGS ASSORTED,6,23/01/2019,1.06,88158
55,21871,SAVE THE PLANET MUG,6,24/01/2019,1.06,16488
56,21071,VINTAGE BILLBOARD DRINK ME MUG,6,25/01/2019,1.06,75882
57,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,26/01/2019,1.06,20589
58,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,27/01/2019,4.95,63597
59,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,28/01/2019,6.95,67695
60,82482,WOODEN PICTURE FRAME WHITE FINISH,6,29/01/2019,2.1,96367
61,82494L,WOODEN FRAME ANTIQUE WHITE ,6,30/01/2019,2.55,63599
62,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,31/01/2019,3.39,51313
63,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,01/02/2019,3.39,55411
64,22752,SET 7 BABUSHKA NESTING BOXES,2,02/02/2019,7.65,45175
65,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,03/02/2019,4.25,43128
66,21258,VICTORIAN SEWING BOX LARGE,32,04/02/2019,10.95,71801
67,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,05/02/2019,2.55,77944
68,71053,WHITE METAL LANTERN,6,06/02/2019,3.39,30840
69,84406B,CREAM CUPID HEARTS COAT HANGER,8,07/02/2019,2.75,73852
70,20679,EDWARDIAN PARASOL RED,6,08/02/2019,4.95,63609
71,37370,RETRO COFFEE MUGS ASSORTED,6,09/02/2019,1.06,30843
72,21871,SAVE THE PLANET MUG,6,10/02/2019,1.06,53376
73,21071,VINTAGE BILLBOARD DRINK ME MUG,6,11/02/2019,1.06,67713
74,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/02/2019,1.06,28800
75,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,13/02/2019,4.95,73860
76,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,14/02/2019,6.95,80004
77,82482,WOODEN PICTURE FRAME WHITE FINISH,6,15/02/2019,2.1,59526
78,82494L,WOODEN FRAME ANTIQUE WHITE ,6,16/02/2019,2.55,96393
