Brand,Force,Year,EngineV,Price_euro
Audi,3.58,2000,0.6,3800
BMW,4.59,2015,0.65,38888
Toyota,4.07,2016,1,11708
Toyota,4.02,2016,1,10500
Renault,4.1,2014,1,12650
Renault,3.88,2013,1,7600
Renault,3.9,2012,1,8000
Toyota,3.93,2011,1,8500
Toyota,3.9,2011,1,7900
Toyota,4.05,2009,1,11300
Toyota,3.88,2008,1,7500
Renault,3.42,2006,1,2650
Toyota,3.76,2006,1,5750
Renault,3.85,2004,1,7000
Toyota,3.67,2002,1,4650
Toyota,3.7,2001,1,5050
Renault,3.6,2000,1,3999
Toyota,3.59,1999,1,3900
Renault,4.11,2012,1.1,12800
Renault,4.08,2010,1.1,11990
Renault,3.29,1982,1.1,1950
Renault,3.98,2016,1.2,9659
Renault,4.06,2016,1.2,11404
Renault,4.25,2016,1.2,17639
Renault,4.02,2015,1.2,10396
Renault,4.24,2014,1.2,17200
Renault,3.92,2014,1.2,8250
Renault,4.31,2014,1.2,20200
Renault,4.32,2014,1.2,21000
Renault,4.2,2014,1.2,16000
Renault,3.96,2013,1.2,9200
Renault,3.92,2013,1.2,8299
Audi,4.23,2013,1.2,16800
Audi,4.23,2013,1.2,16800
Renault,3.93,2013,1.2,8500
Renault,4,2013,1.2,10000
Renault,3.99,2013,1.2,9800
Renault,3.94,2013,1.2,8800
Renault,4.1,2012,1.2,12700
Renault,4.14,2012,1.2,13950
Renault,3.95,2012,1.2,9000
Audi,4.16,2011,1.2,14500
Renault,3.98,2011,1.2,9500
Audi,4.18,2011,1.2,15000
Renault,4,2011,1.2,9999
Renault,3.87,2009,1.2,7450
Renault,3.78,2004,1.2,6000
Renault,3.61,1999,1.2,4100
Renault,3.49,1991,1.2,3100
Toyota,4.13,2015,1.3,13621
Toyota,3.95,2014,1.3,9003
Toyota,4.11,2013,1.3,13000
Toyota,4.02,2012,1.3,10400
Toyota,4.03,2010,1.3,10700
Toyota,3.93,2010,1.3,8500
Toyota,3.88,2008,1.3,7500
Toyota,3.88,2008,1.3,7500
Toyota,3.84,2007,1.3,6900
Toyota,3.91,2006,1.3,8200
Toyota,3.84,2006,1.3,6900
Toyota,3.88,2006,1.3,7500
Toyota,3.78,2006,1.3,5999
Toyota,3.78,2006,1.3,6000
Toyota,3.76,2006,1.3,5700
Toyota,3.71,2006,1.3,5100
Toyota,3.76,2005,1.3,5700
Toyota,3.77,2005,1.3,5850
Toyota,3.2,2000,1.3,1600
Toyota,3.14,1996,1.3,1389
Toyota,3.56,1996,1.3,3650
Toyota,3.51,1996,1.3,3200
Toyota,3.65,1995,1.3,4500
Toyota,3.45,1995,1.3,2800
Toyota,3.49,1994,1.3,3100
Renault,3.39,1991,1.3,2450
Toyota,3.48,1989,1.3,2999
Renault,3.26,1989,1.3,1800
Renault,3.3,1988,1.3,2000
Toyota,3.45,1988,1.3,2800
Toyota,3.37,1987,1.3,2350
Renault,3.34,1987,1.3,2200
Renault,3.19,1986,1.3,1550
Toyota,4.24,2016,1.33,17394
Toyota,4.12,2014,1.33,13200
Renault,3.92,2007,1.39,8400
Renault,3.86,2007,1.39,7200
Audi,4.47,2016,1.4,29603
Audi,4.54,2016,1.4,34419
Audi,4.64,2016,1.4,44000
Audi,4.49,2016,1.4,30999
Renault,4.47,2016,1.4,29600
Renault,4.53,2016,1.4,33700
Renault,4.33,2015,1.4,21500
Renault,4.46,2015,1.4,29040
Renault,4.6,2015,1.4,40000
Renault,4.02,2014,1.4,10493
Renault,3.98,2014,1.4,9500
Renault,4.14,2014,1.4,13709
Renault,4.33,2014,1.4,21550
Renault,4.26,2013,1.4,18200
Renault,4.31,2013,1.4,20300
Audi,4.32,2013,1.4,21000
Toyota,4.11,2013,1.4,12900
Renault,4.34,2013,1.4,22000
Toyota,4.14,2013,1.4,13700
Renault,4.2,2013,1.4,15800
Renault,4.3,2013,1.4,19995
Renault,4.19,2013,1.4,15500
Renault,4.17,2013,1.4,14800
Renault,3.83,2013,1.4,6800
Toyota,4.08,2013,1.4,11950
Renault,4.14,2013,1.4,13900
Renault,4.14,2013,1.4,13900
Renault,4.23,2013,1.4,16800
Renault,4.17,2013,1.4,14900
Renault,4.06,2013,1.4,11600
Renault,3.62,2012,1.4,4200
Renault,4.21,2012,1.4,16200
Renault,3.84,2012,1.4,6900
Renault,4.13,2012,1.4,13500
Toyota,4.09,2012,1.4,12400
Toyota,4.28,2012,1.4,19200
Renault,4.09,2012,1.4,12300
Renault,3.85,2012,1.4,6999
Renault,3.86,2012,1.4,7200
Renault,4.18,2012,1.4,15000
Audi,4.23,2012,1.4,16999
Renault,4.25,2012,1.4,17900
Toyota,4.1,2012,1.4,12500
Renault,4.2,2012,1.4,15900
Renault,4.25,2012,1.4,17900
Renault,4.17,2012,1.4,14700
Renault,3.95,2012,1.4,8911
Renault,3.85,2012,1.4,7000
Renault,4.28,2012,1.4,19100
Toyota,4,2012,1.4,9950
Renault,4.24,2012,1.4,17500
Renault,4.12,2012,1.4,13200
Renault,4.13,2012,1.4,13499
Toyota,4.11,2012,1.4,12750
Renault,4.12,2011,1.4,13300
Renault,4.18,2011,1.4,14999
Renault,4.08,2011,1.4,11900
Renault,4.2,2011,1.4,15880
Renault,3.7,2011,1.4,4999
Renault,4.23,2011,1.4,16900
Audi,4.2,2011,1.4,15900
Renault,4.24,2011,1.4,17500
Renault,4.09,2011,1.4,12350
Renault,4.04,2011,1.4,10900
Renault,4.04,2011,1.4,10900
Renault,4.18,2011,1.4,15200
Renault,4.03,2010,1.4,10700
Toyota,4.04,2010,1.4,11000
Renault,4.08,2010,1.4,11900
Renault,4,2010,1.4,9950
Renault,3.83,2010,1.4,6700
Toyota,4.06,2010,1.4,11400
Audi,4.2,2010,1.4,15800
Renault,3.95,2010,1.4,8900
Renault,4.11,2010,1.4,12750
Renault,4.05,2010,1.4,11250
Renault,3.95,2009,1.4,8900
Renault,3.75,2009,1.4,5650
Renault,3.98,2009,1.4,9650
Renault,3.86,2008,1.4,7245
Renault,3.69,2008,1.4,4900
Renault,3.9,2008,1.4,7900
Renault,3.94,2008,1.4,8700
Renault,3.94,2008,1.4,8650
Renault,3.72,2008,1.4,5200
Renault,3.91,2008,1.4,8200
Renault,4.07,2008,1.4,11700
Renault,3.73,2007,1.4,5400
Renault,3.88,2007,1.4,7500
Renault,3.86,2007,1.4,7300
Renault,3.88,2007,1.4,7600
Renault,3.78,2007,1.4,6000
Renault,3.7,2007,1.4,5000
Renault,3.54,2006,1.4,3500
Renault,3.68,2006,1.4,4800
Renault,3.7,2006,1.4,4999
Renault,3.88,2006,1.4,7500
Renault,3.6,2006,1.4,4000
Renault,3.79,2005,1.4,6100
Renault,3.99,2005,1.4,9750
Renault,3.92,2005,1.4,8350
Toyota,3.91,2005,1.4,8200
Renault,3.6,2005,1.4,3999
Renault,3.79,2005,1.4,6200
Audi,3.86,2004,1.4,7300
Renault,3.85,2004,1.4,6999
Renault,3.48,2004,1.4,3000
Renault,3.88,2004,1.4,7600
Renault,3.9,2003,1.4,7990
Renault,3.84,2003,1.4,6900
Renault,3.53,2003,1.4,3400
Renault,3.62,2003,1.4,4200
Renault,3.87,2003,1.4,7350
Renault,3.7,2003,1.4,5000
Renault,3.62,2003,1.4,4200
Renault,3.7,2002,1.4,4999
Renault,3.45,2002,1.4,2800
Renault,3.73,2002,1.4,5400
Renault,3.34,2001,1.4,2200
Renault,3.82,2001,1.4,6600
Renault,3.8,2001,1.4,6250
Audi,3.36,2000,1.4,2300
Renault,3.62,2000,1.4,4200
Renault,3.76,2000,1.4,5800
Renault,3.81,2000,1.4,6500
Renault,3.75,2000,1.4,5600
Renault,3.08,2000,1.4,1200
Audi,3.41,1999,1.4,2600
Renault,3.18,1999,1.4,1500
Renault,3.49,1999,1.4,3100
Renault,3.23,1999,1.4,1700
Renault,3.83,1998,1.4,6799
Renault,3.23,1998,1.4,1700
Toyota,3.57,1995,1.4,3700
Renault,3.53,1993,1.4,3350
Renault,3.4,1990,1.4,2500
Renault,3.26,1988,1.4,1800
